Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview_Accuracy_Percent	google_gemini-3.1-flash-lite-preview_Unparsable_Percent	google_gemini-3.1-flash-lite-preview_Model_Error_Percent	google_gemini-3.1-flash-lite-preview_Total_Time_s	google_gemini-3.1-flash-lite-preview_Total_Price	aggregate-mistral_Accuracy_Percent	aggregate-mistral_Unparsable_Percent	aggregate-mistral_Model_Error_Percent	aggregate-mistral_Total_Time_s	aggregate-mistral_Total_Price	google_gemini-2.0-flash-lite-001_Accuracy_Percent	google_gemini-2.0-flash-lite-001_Unparsable_Percent	google_gemini-2.0-flash-lite-001_Model_Error_Percent	google_gemini-2.0-flash-lite-001_Total_Time_s	google_gemini-2.0-flash-lite-001_Total_Price
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	72	38.89	0.0	0.0	239.1	0.063789	19.44	0.0	0.0	549.21	0.05352	22.22	0.0	0.0	202.87	0.008388
is_nota_correct	0	600	46.5	0.0	0.0	2062.15	0.599433	29.5	2.13	0.0	5089.83	0.978358	37.17	0.8	0.0	1897.09	0.084932
is_nota_correct	1	150	48.0	0.0	0.0	537.85	0.150396	36.67	0.0	0.0	812.71	0.256675	30.67	0.96	0.0	510.6	0.021865
meta-question_id	1	75	34.67	0.0	0.0	255.22	0.074485	22.67	0.0	0.0	537.21	0.113579	29.33	0.0	0.0	258.23	0.012296
meta-question_id	10	51	47.06	0.0	0.0	170.81	0.050016	27.45	2.7	0.0	197.58	0.085766	47.06	0.0	0.0	157.74	0.006913
meta-question_id	11	48	29.17	0.0	0.0	158.23	0.045331	12.5	0.0	0.0	166.72	0.066854	22.92	0.0	0.0	145.0	0.006418
meta-question_id	2	75	49.33	0.0	0.0	259.74	0.074648	38.67	4.35	0.0	498.82	0.124571	30.67	0.0	0.0	229.2	0.009862
meta-question_id	3	75	36.0	0.0	0.0	276.18	0.080684	25.33	0.0	0.0	594.19	0.113207	30.67	0.0	0.0	245.36	0.011057
meta-question_id	4	75	56.0	0.0	0.0	282.82	0.084766	30.67	3.85	0.0	1308.45	0.152829	38.67	6.52	0.0	239.18	0.010354
meta-question_id	5	75	66.67	0.0	0.0	258.74	0.077089	50.67	5.41	0.0	901.05	0.134556	36.0	2.08	0.0	236.46	0.010362
meta-question_id	6	75	56.0	0.0	0.0	259.98	0.073376	44.0	0.0	0.0	404.78	0.121281	61.33	0.0	0.0	240.9	0.010614
meta-question_id	7	75	52.0	0.0	0.0	277.86	0.083793	37.33	4.26	0.0	621.67	0.126975	38.67	0.0	0.0	279.49	0.012916
meta-question_id	8	75	21.33	0.0	0.0	257.6	0.072529	6.67	0.0	0.0	330.54	0.117591	17.33	0.0	0.0	239.82	0.011006
meta-question_id	9	51	66.67	0.0	0.0	142.83	0.033113	39.22	0.0	0.0	341.52	0.077821	43.14	0.0	0.0	136.31	0.004999
category	harmony	150	48.0	0.0	0.0	471.87	0.12846	26.67	0.91	0.0	705.83	0.230442	38.0	0.0	0.0	439.05	0.018329
category	pitch	300	44.0	0.0	0.0	1073.95	0.314582	29.33	1.89	0.0	2938.66	0.504187	32.33	1.48	0.0	971.97	0.04357
category	rhythm	300	49.0	0.0	0.0	1054.18	0.306786	34.67	2.04	0.0	2258.05	0.500404	38.33	0.54	0.0	996.67	0.044898
subcategory	harmonic-recognition	150	48.0	0.0	0.0	471.87	0.12846	26.67	0.91	0.0	705.83	0.230442	38.0	0.0	0.0	439.05	0.018329
subcategory	interval-recognition	150	46.0	0.0	0.0	559.0	0.165449	28.0	1.85	0.0	1902.64	0.266036	34.67	3.06	0.0	484.54	0.021411
subcategory	pitch-recognition	150	42.0	0.0	0.0	514.96	0.149133	30.67	1.92	0.0	1036.02	0.238151	30.0	0.0	0.0	487.43	0.022158
subcategory	proportion-recognition	150	36.67	0.0	0.0	535.46	0.156322	22.0	1.71	0.0	952.22	0.244566	28.0	0.0	0.0	519.31	0.023922
subcategory	rhythmic-recognition	150	61.33	0.0	0.0	518.72	0.150465	47.33	2.53	0.0	1305.83	0.255838	48.67	1.3	0.0	477.36	0.020976
skill	cadence recognition	48	29.17	0.0	0.0	158.23	0.045331	12.5	0.0	0.0	166.72	0.066854	22.92	0.0	0.0	145.0	0.006418
skill	chord recognition	51	47.06	0.0	0.0	170.81	0.050016	27.45	2.7	0.0	197.58	0.085766	47.06	0.0	0.0	157.74	0.006913
skill	interval recognition	75	36.0	0.0	0.0	276.18	0.080684	25.33	0.0	0.0	594.19	0.113207	30.67	0.0	0.0	245.36	0.011057
skill	interval statistics	75	56.0	0.0	0.0	282.82	0.084766	30.67	3.85	0.0	1308.45	0.152829	38.67	6.52	0.0	239.18	0.010354
skill	note length	75	66.67	0.0	0.0	258.74	0.077089	50.67	5.41	0.0	901.05	0.134556	36.0	2.08	0.0	236.46	0.010362
skill	note length statistics	75	56.0	0.0	0.0	259.98	0.073376	44.0	0.0	0.0	404.78	0.121281	61.33	0.0	0.0	240.9	0.010614
skill	pitch recognition	75	34.67	0.0	0.0	255.22	0.074485	22.67	0.0	0.0	537.21	0.113579	29.33	0.0	0.0	258.23	0.012296
skill	pitch statistics	75	49.33	0.0	0.0	259.74	0.074648	38.67	4.35	0.0	498.82	0.124571	30.67	0.0	0.0	229.2	0.009862
skill	rhythm pattern	75	52.0	0.0	0.0	277.86	0.083793	37.33	4.26	0.0	621.67	0.126975	38.67	0.0	0.0	279.49	0.012916
skill	rhythm pattern statistics	75	21.33	0.0	0.0	257.6	0.072529	6.67	0.0	0.0	330.54	0.117591	17.33	0.0	0.0	239.82	0.011006
skill	tonality recognition	51	66.67	0.0	0.0	142.83	0.033113	39.22	0.0	0.0	341.52	0.077821	43.14	0.0	0.0	136.31	0.004999
rel/abs	absolute	351	51.0	0.0	0.0	1204.49	0.349613	37.32	2.27	0.0	2539.44	0.579755	40.46	0.48	0.0	1122.53	0.050047
rel/abs	relative	399	43.11	0.0	0.0	1395.52	0.400216	25.31	1.34	0.0	3363.1	0.655278	31.83	1.1	0.0	1285.16	0.05675
specification	harmony-absolute	51	47.06	0.0	0.0	170.81	0.050016	27.45	2.7	0.0	197.58	0.085766	47.06	0.0	0.0	157.74	0.006913
specification	harmony-relative	99	48.48	0.0	0.0	301.06	0.078444	26.26	0.0	0.0	508.24	0.144675	33.33	0.0	0.0	281.31	0.011417
specification	pitch-absolute	150	42.0	0.0	0.0	514.96	0.149133	30.67	1.92	0.0	1036.02	0.238151	30.0	0.0	0.0	487.43	0.022158
specification	pitch-relative	150	46.0	0.0	0.0	559.0	0.165449	28.0	1.85	0.0	1902.64	0.266036	34.67	3.06	0.0	484.54	0.021411
specification	rhythm-absolute	150	61.33	0.0	0.0	518.72	0.150465	47.33	2.53	0.0	1305.83	0.255838	48.67	1.3	0.0	477.36	0.020976
specification	rhythm-relative	150	36.67	0.0	0.0	535.46	0.156322	22.0	1.71	0.0	952.22	0.244566	28.0	0.0	0.0	519.31	0.023922
