Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview_Accuracy_Percent	google_gemini-3.1-flash-lite-preview_Unparsable_Percent	google_gemini-3.1-flash-lite-preview_Model_Error_Percent	google_gemini-3.1-flash-lite-preview_Total_Time_s	google_gemini-3.1-flash-lite-preview_Total_Price	google_gemini-2.0-flash-lite-001_Accuracy_Percent	google_gemini-2.0-flash-lite-001_Unparsable_Percent	google_gemini-2.0-flash-lite-001_Model_Error_Percent	google_gemini-2.0-flash-lite-001_Total_Time_s	google_gemini-2.0-flash-lite-001_Total_Price	aggregate-mistral_Accuracy_Percent	aggregate-mistral_Unparsable_Percent	aggregate-mistral_Model_Error_Percent	aggregate-mistral_Total_Time_s	aggregate-mistral_Total_Price
skill	interval recognition	150	39.33	0.0	0.0	515.05	0.167848	25.33	0.0	0.0	531.03	0.024903	19.33	6.61	0.0	2388.93	0.281539
skill	interval statistics	150	58.0	0.0	0.0	532.86	0.16894	38.0	0.0	0.0	554.26	0.023633	38.0	9.68	0.0	2839.59	0.266559
skill	note length	150	54.67	0.0	0.0	480.36	0.145743	40.67	0.0	0.0	454.04	0.018461	46.67	12.5	0.0	2647.76	0.273814
skill	note length statistics	150	46.67	0.0	0.0	511.96	0.154535	48.0	0.0	0.0	627.47	0.027754	38.0	7.53	0.0	1966.95	0.265179
skill	pitch recognition	150	32.67	0.0	0.0	526.59	0.145986	23.33	0.0	0.0	485.94	0.019374	18.0	0.0	0.0	2813.07	0.292381
skill	pitch statistics	150	51.33	0.0	0.0	510.09	0.150452	29.33	0.0	0.0	603.57	0.019818	29.33	3.77	0.0	1266.2	0.238967
skill	rhythm pattern	150	48.0	0.0	0.0	497.4	0.1602	39.33	0.0	0.0	499.53	0.022421	36.67	7.37	0.0	1856.35	0.263643
skill	rhythm pattern statistics	150	23.33	0.0	0.0	498.6	0.143906	23.33	0.0	0.0	475.77	0.021328	20.67	2.52	0.0	1438.7	0.247827
skill	tonality recognition	60	68.33	0.0	0.0	150.34	0.038335	56.67	0.0	0.0	146.24	0.00584	40.0	0.0	0.0	326.92	0.090716
rel/abs	absolute	720	46.67	0.0	0.0	2415.91	0.707491	36.25	0.0	0.0	2738.85	0.100773	32.78	4.55	0.0	9261.13	1.255536
rel/abs	relative	780	41.92	0.0	0.0	2615.77	0.79496	32.82	0.0	0.0	2711.86	0.114123	28.85	5.23	0.0	9854.39	1.341168
specification	harmony-absolute	120	48.33	0.0	0.0	386.91	0.110776	40.83	0.0	0.0	567.83	0.015366	31.67	1.22	0.0	567.15	0.185195
specification	harmony-relative	180	41.11	0.0	0.0	571.86	0.154065	37.22	0.0	0.0	651.26	0.021838	29.44	1.57	0.0	1330.81	0.2816
specification	pitch-absolute	300	42.0	0.0	0.0	1036.68	0.296438	26.33	0.0	0.0	1089.52	0.039192	23.67	1.75	0.0	4079.27	0.531348
specification	pitch-relative	300	48.67	0.0	0.0	1047.91	0.336788	31.67	0.0	0.0	1085.29	0.048537	28.67	7.94	0.0	5228.52	0.548098
specification	rhythm-absolute	300	50.67	0.0	0.0	992.32	0.300278	44.33	0.0	0.0	1081.51	0.046215	42.33	9.83	0.0	4614.71	0.538993
specification	rhythm-relative	300	35.67	0.0	0.0	996.0	0.304107	31.33	0.0	0.0	975.3	0.043748	28.67	4.67	0.0	3295.06	0.51147
