Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview_Accuracy_Percent	google_gemini-3.1-flash-lite-preview_Unparsable_Percent	google_gemini-3.1-flash-lite-preview_Model_Error_Percent	google_gemini-3.1-flash-lite-preview_Total_Time_s	google_gemini-3.1-flash-lite-preview_Total_Price	aggregate-mistral_Accuracy_Percent	aggregate-mistral_Unparsable_Percent	aggregate-mistral_Model_Error_Percent	aggregate-mistral_Total_Time_s	aggregate-mistral_Total_Price	Qwen_Qwen3-Omni-30B-A3B-Thinking_Accuracy_Percent	Qwen_Qwen3-Omni-30B-A3B-Thinking_Unparsable_Percent	Qwen_Qwen3-Omni-30B-A3B-Thinking_Model_Error_Percent	Qwen_Qwen3-Omni-30B-A3B-Thinking_Total_Time_s	Qwen_Qwen3-Omni-30B-A3B-Thinking_Total_Price	google_gemini-2.0-flash-lite-001_Accuracy_Percent	google_gemini-2.0-flash-lite-001_Unparsable_Percent	google_gemini-2.0-flash-lite-001_Model_Error_Percent	google_gemini-2.0-flash-lite-001_Total_Time_s	google_gemini-2.0-flash-lite-001_Total_Price
meta-question_id	9	51	72.55	0.0	0.0	128.27	0.032637	43.14	3.45	0.0	300.15	0.074552	56.86	0.0	0.0	300.41	0.0	70.59	0.0	0.0	126.9	0.00502
category	harmony	150	45.33	0.0	0.0	445.35	0.126535	30.67	7.69	0.0	972.82	0.236336	36.67	0.0	0.0	2515.97	0.0	42.0	0.0	0.0	424.19	0.018502
category	pitch	300	48.33	0.0	0.0	1084.84	0.321106	29.67	4.74	0.0	2922.21	0.486931	39.0	0.0	0.0	7121.29	0.0	32.67	0.0	0.0	1003.81	0.044443
category	rhythm	300	42.67	0.0	0.0	1004.94	0.289536	37.0	7.94	0.0	2343.68	0.45484	41.67	0.0	0.0	6681.45	0.0	36.33	0.0	0.0	969.19	0.043233
subcategory	harmonic-recognition	150	45.33	0.0	0.0	445.35	0.126535	30.67	7.69	0.0	972.82	0.236336	36.67	0.0	0.0	2515.97	0.0	42.0	0.0	0.0	424.19	0.018502
subcategory	interval-recognition	150	50.67	0.0	0.0	555.07	0.162216	32.67	7.92	0.0	1325.29	0.225755	39.33	0.0	0.0	4749.16	0.0	37.33	0.0	0.0	539.78	0.023467
subcategory	pitch-recognition	150	46.0	0.0	0.0	529.78	0.15889	26.67	1.82	0.0	1596.92	0.261176	38.67	0.0	0.0	2372.14	0.0	28.0	0.0	0.0	464.03	0.020976
subcategory	proportion-recognition	150	34.0	0.0	0.0	495.59	0.142358	28.67	6.54	0.0	1308.63	0.237264	29.33	0.0	0.0	3541.96	0.0	28.67	0.0	0.0	477.36	0.021117
subcategory	rhythmic-recognition	150	51.33	0.0	0.0	509.35	0.147179	45.33	9.76	0.0	1035.05	0.217576	54.0	0.0	0.0	3139.49	0.0	44.0	0.0	0.0	491.83	0.022115
skill	cadence recognition	48	29.17	0.0	0.0	154.46	0.046561	22.92	8.11	0.0	293.73	0.077054	29.17	0.0	0.0	977.56	0.0	25.0	0.0	0.0	150.75	0.006938
skill	chord recognition	51	33.33	0.0	0.0	162.63	0.047338	25.49	10.53	0.0	378.94	0.084729	23.53	0.0	0.0	1238.0	0.0	29.41	0.0	0.0	146.54	0.006544
skill	interval recognition	75	40.0	0.0	0.0	267.4	0.078866	22.67	3.45	0.0	371.7	0.101743	34.67	0.0	0.0	1840.95	0.0	25.33	0.0	0.0	253.59	0.01183
skill	interval statistics	75	61.33	0.0	0.0	287.67	0.08335	42.67	13.95	0.0	953.58	0.124013	44.0	0.0	0.0	2908.21	0.0	49.33	0.0	0.0	286.19	0.011637
skill	note length	75	52.0	0.0	0.0	250.91	0.071184	50.67	10.81	0.0	587.8	0.105069	46.67	0.0	0.0	1578.33	0.0	34.67	0.0	0.0	215.03	0.009168
skill	note length statistics	75	50.67	0.0	0.0	258.44	0.075994	40.0	8.89	0.0	447.25	0.112506	61.33	0.0	0.0	1561.16	0.0	53.33	0.0	0.0	276.79	0.012947
skill	pitch recognition	75	41.33	0.0	0.0	265.8	0.081005	28.0	0.0	0.0	1052.86	0.140495	36.0	0.0	0.0	1561.3	0.0	25.33	0.0	0.0	241.45	0.010795
skill	pitch statistics	75	50.67	0.0	0.0	263.97	0.077885	25.33	3.57	0.0	544.07	0.120681	41.33	0.0	0.0	810.84	0.0	30.67	0.0	0.0	222.58	0.01018
skill	rhythm pattern	75	41.33	0.0	0.0	238.02	0.072587	44.0	11.9	0.0	676.27	0.11651	37.33	0.0	0.0	1840.92	0.0	36.0	0.0	0.0	240.41	0.010651
skill	rhythm pattern statistics	75	26.67	0.0	0.0	257.57	0.069771	13.33	3.08	0.0	632.35	0.120754	21.33	0.0	0.0	1701.04	0.0	21.33	0.0	0.0	236.95	0.010466
skill	tonality recognition	51	72.55	0.0	0.0	128.27	0.032637	43.14	3.45	0.0	300.15	0.074552	56.86	0.0	0.0	300.41	0.0	70.59	0.0	0.0	126.9	0.00502
rel/abs	absolute	351	46.44	0.0	0.0	1201.76	0.353406	34.47	6.09	0.0	3010.91	0.563481	43.02	0.0	0.0	6749.63	0.0	35.04	0.0	0.0	1102.4	0.049636
rel/abs	relative	399	44.61	0.0	0.0	1333.38	0.383771	31.33	6.93	0.0	3227.8	0.614626	36.59	0.0	0.0	9569.08	0.0	36.84	0.0	0.0	1294.79	0.056543
specification	harmony-absolute	51	33.33	0.0	0.0	162.63	0.047338	25.49	10.53	0.0	378.94	0.084729	23.53	0.0	0.0	1238.0	0.0	29.41	0.0	0.0	146.54	0.006544
specification	harmony-relative	99	51.52	0.0	0.0	282.72	0.079197	33.33	6.06	0.0	593.88	0.151606	43.43	0.0	0.0	1277.97	0.0	48.48	0.0	0.0	277.65	0.011958
specification	pitch-absolute	150	46.0	0.0	0.0	529.78	0.15889	26.67	1.82	0.0	1596.92	0.261176	38.67	0.0	0.0	2372.14	0.0	28.0	0.0	0.0	464.03	0.020976
specification	pitch-relative	150	50.67	0.0	0.0	555.07	0.162216	32.67	7.92	0.0	1325.29	0.225755	39.33	0.0	0.0	4749.16	0.0	37.33	0.0	0.0	539.78	0.023467
specification	rhythm-absolute	150	51.33	0.0	0.0	509.35	0.147179	45.33	9.76	0.0	1035.05	0.217576	54.0	0.0	0.0	3139.49	0.0	44.0	0.0	0.0	491.83	0.022115
specification	rhythm-relative	150	34.0	0.0	0.0	495.59	0.142358	28.67	6.54	0.0	1308.63	0.237264	29.33	0.0	0.0	3541.96	0.0	28.67	0.0	0.0	477.36	0.021117
