Criterion_Type	Criterion_Value	google_gemini-2.0-flash-lite-001_normal	google_gemini-2.0-flash-lite-001_text-only	google_gemini-2.0-flash-lite-001_white-noise	google_gemini-3.1-flash-lite-preview_normal	google_gemini-3.1-flash-lite-preview_text-only	google_gemini-3.1-flash-lite-preview_white-noise	aggregate-mistral_normal	google_gemini-2.5-flash-lite_normal	aggregate-gpt-4o_normal	Qwen_Qwen3-Omni-30B-A3B-Thinking_normal	Qwen_Qwen3-Omni-30B-A3B-Thinking_text-only
subcategory	rhythmic-recognition	38.667	20.666	37.999	52.0	39.334	32.665	47.335	44.001	49.999	52.0	25.334
skill	cadence recognition	19.999	29.999	9.999	26.666	26.665	19.999	9.999	16.667	20.0	16.666	9.999
skill	chord recognition	31.667	31.665	30.0	43.332	39.998	26.667	36.667	38.333	28.334	38.334	16.668
skill	interval recognition	24.442	17.776	19.998	32.22	25.555	25.554	21.109	37.777	24.442	38.887	23.331
skill	interval statistics	51.667	35.0	48.333	73.333	51.665	51.667	34.999	50.0	56.666	50.001	38.334
skill	note length	42.221	16.665	33.332	51.11	38.888	34.441	52.224	44.443	44.444	57.78	15.554
skill	note length statistics	33.334	26.668	45.001	53.333	39.999	30.001	40.0	43.333	58.333	43.333	39.999
skill	pitch recognition	28.886	23.331	22.22	37.776	19.998	16.665	18.888	32.221	26.664	37.776	27.776
skill	pitch statistics	41.668	23.335	28.333	55.001	21.668	31.667	38.334	43.332	41.666	48.332	16.668
skill	rhythm pattern	32.22	18.887	21.109	37.778	27.775	29.997	37.776	38.886	42.22	47.777	23.331
skill	rhythm pattern statistics	23.335	21.667	19.999	36.667	21.668	25.0	31.666	28.334	18.334	20.0	5.001
skill	tonality recognition	60.0	35.0	31.667	71.664	36.666	16.668	45.0	58.334	65.001	71.667	43.332
rel/abs	absolute	35.556	23.61	31.113	47.498	31.667	27.5	36.946	40.0	39.167	45.556	23.054
rel/abs	relative	35.385	24.872	25.642	46.154	31.283	28.719	31.538	40.001	38.461	43.077	24.872
specification	harmony-absolute	31.667	31.665	30.0	43.332	39.998	26.667	36.667	38.333	28.334	38.334	16.668
specification	harmony-relative	46.667	33.333	24.442	56.668	33.331	17.776	33.331	44.444	50.0	53.334	32.219
specification	pitch-absolute	34.0	23.333	24.666	44.666	20.668	22.667	26.666	36.667	32.666	42.0	23.333
specification	pitch-relative	35.335	24.667	31.334	48.668	36.0	36.001	26.668	42.666	37.334	43.333	29.335
specification	rhythm-absolute	38.667	20.666	37.999	52.0	39.334	32.665	47.335	44.001	49.999	52.0	25.334
specification	rhythm-relative	28.667	20.0	20.666	37.333	25.334	28.0	35.334	34.667	32.666	36.666	16.0
