Criterion_Type	Criterion_Value	Total_Items	google_gemma-3-27b-it	google_gemini-3.1-flash-lite-preview	aggregate-mistral	Qwen_Qwen3-Omni-30B-A3B-Thinking	aggregate-gpt-5	deepseek_deepseek-v3.2	google_gemini-2.0-flash-lite-001	meta-llama_llama-4-scout	google_gemini-2.5-flash-lite	aggregate-gpt-4o
skill	pitch statistics	30	13.33	33.33	46.67	33.33	10.0	23.33	40.0	30.0	43.33	10.0
skill	rhythm pattern	30	33.33	53.33	36.67	10.0	0.0	13.33	20.0	30.0	33.33	0.0
skill	rhythm pattern statistics	30	16.67	13.33	10.0	10.0	6.67	13.33	16.67	3.33	16.67	6.67
skill	tonality recognition	21	23.81	38.1	47.62	38.1	9.52	28.57	42.86	38.1	38.1	9.52
rel/abs	absolute	141	21.28	36.17	41.84	26.95	9.22	29.08	29.08	34.04	32.62	11.35
rel/abs	relative	159	20.13	33.33	29.56	21.38	7.55	20.13	22.64	27.67	25.79	6.29
specification	harmony-absolute	21	19.05	33.33	28.57	4.76	4.76	23.81	14.29	23.81	14.29	9.52
specification	harmony-relative	39	17.95	35.9	41.03	35.9	7.69	23.08	25.64	38.46	35.9	10.26
specification	pitch-absolute	60	18.33	31.67	41.67	26.67	6.67	25.0	33.33	26.67	30.0	10.0
specification	pitch-relative	60	16.67	31.67	28.33	23.33	11.67	25.0	25.0	31.67	20.0	6.67
specification	rhythm-absolute	60	25.0	41.67	46.67	35.0	13.33	35.0	30.0	45.0	41.67	13.33
specification	rhythm-relative	60	25.0	33.33	23.33	10.0	3.33	13.33	18.33	16.67	25.0	3.33
