Criterion_Type	Criterion_Value	Total_Items	google_gemini-2.0-flash-lite-001_Accuracy_Percent	google_gemini-2.0-flash-lite-001_Unparsable_Percent	google_gemini-2.0-flash-lite-001_Model_Error_Percent	google_gemini-2.0-flash-lite-001_Total_Time_s	google_gemini-2.0-flash-lite-001_Total_Price	aggregate-gpt-4o_Accuracy_Percent	aggregate-gpt-4o_Unparsable_Percent	aggregate-gpt-4o_Model_Error_Percent	aggregate-gpt-4o_Total_Time_s	aggregate-gpt-4o_Total_Price	google_gemini-2.5-flash-lite_Accuracy_Percent	google_gemini-2.5-flash-lite_Unparsable_Percent	google_gemini-2.5-flash-lite_Model_Error_Percent	google_gemini-2.5-flash-lite_Total_Time_s	google_gemini-2.5-flash-lite_Total_Price	aggregate-mistral_Accuracy_Percent	aggregate-mistral_Unparsable_Percent	aggregate-mistral_Model_Error_Percent	aggregate-mistral_Total_Time_s	aggregate-mistral_Total_Price	aggregate-gpt-5_Accuracy_Percent	aggregate-gpt-5_Unparsable_Percent	aggregate-gpt-5_Model_Error_Percent	aggregate-gpt-5_Total_Time_s	aggregate-gpt-5_Total_Price	xiaomi_mimo-v2-omni_Accuracy_Percent	xiaomi_mimo-v2-omni_Unparsable_Percent	xiaomi_mimo-v2-omni_Model_Error_Percent	xiaomi_mimo-v2-omni_Total_Time_s	xiaomi_mimo-v2-omni_Total_Price	google_gemini-3.1-flash-lite-preview_Accuracy_Percent	google_gemini-3.1-flash-lite-preview_Unparsable_Percent	google_gemini-3.1-flash-lite-preview_Model_Error_Percent	google_gemini-3.1-flash-lite-preview_Total_Time_s	google_gemini-3.1-flash-lite-preview_Total_Price
meta-question_id	2	40	20.0	0.0	0.0	109.37	0.027164	15.0	0.0	0.0	306.42	0.877243	17.5	0.0	0.0	733.16	0.096125	25.0	0.0	0.0	234.74	0.06526	20.0	21.88	0.0	825.83	0.744907	25.0	6.67	0.0	1474.2	0.557309	15.0	2.94	0.0	175.69	0.105626
meta-question_id	3	36	58.33	0.0	0.0	169.31	0.026162	72.22	10.0	0.0	286.9	0.92052	47.22	0.0	0.0	932.29	0.124685	55.56	0.0	0.0	201.7	0.081297	50.0	11.11	0.0	1275.57	0.768928	72.22	10.0	0.0	1607.35	0.582712	83.33	0.0	0.0	142.76	0.111809
meta-question_id	4	72	22.22	0.0	0.0	326.86	0.053497	18.06	0.0	0.0	679.89	1.867323	20.83	0.0	0.0	847.17	0.139038	33.33	0.0	0.0	499.25	0.16593	26.39	11.32	0.0	1209.13	1.43466	16.67	10.0	0.0	2317.77	0.958325	18.06	0.0	0.0	267.17	0.21516
meta-question_id	5	37	59.46	0.0	0.0	81.88	0.023745	59.46	0.0	0.0	259.19	0.843928	62.16	0.0	0.0	298.01	0.051986	59.46	0.0	0.0	190.31	0.080047	51.35	33.33	0.0	389.63	0.630366	56.76	6.25	0.0	651.77	0.272859	59.46	0.0	0.0	141.46	0.090327
meta-question_id	6	37	13.51	0.0	0.0	123.27	0.028052	8.11	5.88	0.0	328.83	0.918925	5.41	0.0	0.0	419.15	0.07248	8.11	0.0	0.0	164.82	0.070139	10.81	3.03	0.0	628.34	0.756684	10.81	12.12	0.0	1175.47	0.5233	2.7	0.0	0.0	200.8	0.108487
meta-question_id	7	37	51.35	0.0	0.0	87.53	0.022782	37.84	0.0	0.0	262.28	0.787245	32.43	0.0	0.0	184.71	0.039672	24.32	0.0	0.0	175.86	0.067912	35.14	25.0	0.0	564.64	0.626099	32.43	16.0	0.0	1107.04	0.459711	51.35	0.0	0.0	150.18	0.088124
meta-question_id	8	78	42.31	0.0	0.0	217.84	0.055998	34.62	3.92	0.0	805.98	1.986968	32.05	1.89	0.0	1769.4	0.213195	39.74	0.0	0.0	625.74	0.166721	32.05	7.55	0.0	1669.82	1.583803	52.56	13.51	2.7	4197.35	1.498684	53.85	0.0	0.0	433.98	0.229526
meta-question_id	9	36	8.33	0.0	0.0	102.01	0.024144	13.89	3.23	0.0	396.08	0.840845	11.11	0.0	0.0	1056.26	0.121298	16.67	0.0	0.0	207.55	0.069188	30.56	0.0	0.0	758.28	0.671921	22.22	10.71	0.0	2033.15	0.749956	13.89	0.0	0.0	181.55	0.099439
category	harmony	151	36.42	0.0	0.0	407.38	0.102923	30.46	2.86	0.0	1464.34	3.615058	27.15	0.91	0.0	3010.38	0.374165	30.46	0.0	0.0	1009.16	0.303822	32.45	9.8	0.0	2992.74	2.881823	40.4	13.33	1.11	7337.54	2.70835	43.71	0.0	0.0	765.71	0.417089
category	pitch	150	35.33	0.0	0.0	485.41	0.114637	41.33	1.14	0.0	1201.33	3.855865	35.33	0.0	0.0	2472.73	0.367664	36.67	0.0	0.0	1303.98	0.332922	37.33	11.7	0.0	3363.94	3.147942	44.67	12.05	0.0	6126.26	2.340326	46.0	1.23	0.0	653.27	0.460478
category	rhythm	146	29.45	0.0	0.0	532.0	0.105295	26.03	1.85	0.0	1267.91	3.630175	27.4	0.0	0.0	1564.33	0.263504	33.56	0.0	0.0	854.39	0.316116	28.77	12.5	0.0	2227.1	2.82171	25.34	10.09	0.0	4145.0	1.754484	24.66	0.0	0.0	609.43	0.413975
subcategory	harmony-absolute	78	42.31	0.0	0.0	217.84	0.055998	34.62	3.92	0.0	805.98	1.986968	32.05	1.89	0.0	1769.4	0.213195	39.74	0.0	0.0	625.74	0.166721	32.05	7.55	0.0	1669.82	1.583803	52.56	13.51	2.7	4197.35	1.498684	53.85	0.0	0.0	433.98	0.229526
subcategory	harmony-relative	73	30.14	0.0	0.0	189.54	0.046926	26.03	1.85	0.0	658.36	1.62809	21.92	0.0	0.0	1240.97	0.16097	20.55	0.0	0.0	383.41	0.1371	32.88	12.24	0.0	1322.92	1.298021	27.4	13.21	0.0	3140.19	1.209667	32.88	0.0	0.0	331.73	0.187562
subcategory	pitch-absolute	74	32.43	0.0	0.0	206.73	0.061311	40.54	0.0	0.0	608.0	2.058102	39.19	0.0	0.0	807.27	0.146854	33.78	0.0	0.0	867.55	0.186365	40.54	4.55	0.0	1262.54	1.634107	41.89	16.28	0.0	3044.71	1.200305	44.59	0.0	0.0	334.82	0.243043
subcategory	pitch-relative	76	38.16	0.0	0.0	278.68	0.053326	42.11	2.27	0.0	593.33	1.797763	31.58	0.0	0.0	1665.45	0.220811	39.47	0.0	0.0	436.43	0.146557	34.21	18.0	0.0	2101.4	1.513835	47.37	7.5	0.0	3081.55	1.140021	47.37	2.5	0.0	318.45	0.217435
subcategory	rhythm-absolute	72	22.22	0.0	0.0	326.86	0.053497	18.06	0.0	0.0	679.89	1.867323	20.83	0.0	0.0	847.17	0.139038	33.33	0.0	0.0	499.25	0.16593	26.39	11.32	0.0	1209.13	1.43466	16.67	10.0	0.0	2317.77	0.958325	18.06	0.0	0.0	267.17	0.21516
subcategory	rhythm-relative	74	36.49	0.0	0.0	205.15	0.051798	33.78	4.08	0.0	588.02	1.762853	33.78	0.0	0.0	717.16	0.124466	33.78	0.0	0.0	355.14	0.150186	31.08	13.73	0.0	1017.97	1.38705	33.78	10.2	0.0	1827.23	0.796158	31.08	0.0	0.0	342.26	0.198814
skill	cadence recognition	36	8.33	0.0	0.0	102.01	0.024144	13.89	3.23	0.0	396.08	0.840845	11.11	0.0	0.0	1056.26	0.121298	16.67	0.0	0.0	207.55	0.069188	30.56	0.0	0.0	758.28	0.671921	22.22	10.71	0.0	2033.15	0.749956	13.89	0.0	0.0	181.55	0.099439
skill	chord recognition	78	42.31	0.0	0.0	217.84	0.055998	34.62	3.92	0.0	805.98	1.986968	32.05	1.89	0.0	1769.4	0.213195	39.74	0.0	0.0	625.74	0.166721	32.05	7.55	0.0	1669.82	1.583803	52.56	13.51	2.7	4197.35	1.498684	53.85	0.0	0.0	433.98	0.229526
skill	interval recognition	40	20.0	0.0	0.0	109.37	0.027164	15.0	0.0	0.0	306.42	0.877243	17.5	0.0	0.0	733.16	0.096125	25.0	0.0	0.0	234.74	0.06526	20.0	21.88	0.0	825.83	0.744907	25.0	6.67	0.0	1474.2	0.557309	15.0	2.94	0.0	175.69	0.105626
skill	interval statistics	36	58.33	0.0	0.0	169.31	0.026162	72.22	10.0	0.0	286.9	0.92052	47.22	0.0	0.0	932.29	0.124685	55.56	0.0	0.0	201.7	0.081297	50.0	11.11	0.0	1275.57	0.768928	72.22	10.0	0.0	1607.35	0.582712	83.33	0.0	0.0	142.76	0.111809
skill	note length	72	22.22	0.0	0.0	326.86	0.053497	18.06	0.0	0.0	679.89	1.867323	20.83	0.0	0.0	847.17	0.139038	33.33	0.0	0.0	499.25	0.16593	26.39	11.32	0.0	1209.13	1.43466	16.67	10.0	0.0	2317.77	0.958325	18.06	0.0	0.0	267.17	0.21516
skill	pitch recognition	38	26.32	0.0	0.0	105.35	0.029202	26.32	0.0	0.0	300.39	0.971445	28.95	0.0	0.0	378.11	0.068593	31.58	0.0	0.0	252.51	0.08223	23.68	0.0	0.0	638.48	0.774767	23.68	10.34	0.0	1454.36	0.571147	34.21	0.0	0.0	178.07	0.115425
skill	pitch statistics	36	38.89	0.0	0.0	101.39	0.032108	55.56	0.0	0.0	307.61	1.086658	50.0	0.0	0.0	429.17	0.078261	36.11	0.0	0.0	615.04	0.104135	58.33	13.33	0.0	624.06	0.859339	61.11	28.57	0.0	1590.35	0.629158	55.56	0.0	0.0	156.75	0.127617
skill	rhythm pattern	37	13.51	0.0	0.0	123.27	0.028052	8.11	5.88	0.0	328.83	0.918925	5.41	0.0	0.0	419.15	0.07248	8.11	0.0	0.0	164.82	0.070139	10.81	3.03	0.0	628.34	0.756684	10.81	12.12	0.0	1175.47	0.5233	2.7	0.0	0.0	200.8	0.108487
skill	time signature	37	59.46	0.0	0.0	81.88	0.023745	59.46	0.0	0.0	259.19	0.843928	62.16	0.0	0.0	298.01	0.051986	59.46	0.0	0.0	190.31	0.080047	51.35	33.33	0.0	389.63	0.630366	56.76	6.25	0.0	651.77	0.272859	59.46	0.0	0.0	141.46	0.090327
skill	tonality recognition	37	51.35	0.0	0.0	87.53	0.022782	37.84	0.0	0.0	262.28	0.787245	32.43	0.0	0.0	184.71	0.039672	24.32	0.0	0.0	175.86	0.067912	35.14	25.0	0.0	564.64	0.626099	32.43	16.0	0.0	1107.04	0.459711	51.35	0.0	0.0	150.18	0.088124
rel/abs	absolute	224	32.59	0.0	0.0	751.43	0.170806	31.25	1.3	0.0	2093.88	5.912392	30.8	0.65	0.0	3423.85	0.499086	35.71	0.0	0.0	1992.55	0.519017	33.04	8.0	0.0	4141.49	4.65257	37.5	12.86	0.71	9559.83	3.657314	39.29	0.0	0.0	1035.97	0.687729
rel/abs	relative	223	34.98	0.0	0.0	673.37	0.15205	34.08	2.72	0.0	1839.7	5.188705	29.15	0.0	0.0	3623.58	0.506247	31.39	0.0	0.0	1174.98	0.433843	32.74	14.67	0.0	4442.29	4.198906	36.32	10.56	0.0	8048.98	3.145846	37.22	0.71	0.0	992.44	0.603812
