Criterion_Type	Criterion_Value	Total_Items	google_gemini-2.0-flash-lite-001_Accuracy_Percent	google_gemini-2.0-flash-lite-001_Unparsable_Percent	google_gemini-2.0-flash-lite-001_Model_Error_Percent	google_gemini-2.0-flash-lite-001_Total_Time_s	google_gemini-2.0-flash-lite-001_Total_Price	aggregate-gpt-4o_Accuracy_Percent	aggregate-gpt-4o_Unparsable_Percent	aggregate-gpt-4o_Model_Error_Percent	aggregate-gpt-4o_Total_Time_s	aggregate-gpt-4o_Total_Price	google_gemini-2.5-flash-lite_Accuracy_Percent	google_gemini-2.5-flash-lite_Unparsable_Percent	google_gemini-2.5-flash-lite_Model_Error_Percent	google_gemini-2.5-flash-lite_Total_Time_s	google_gemini-2.5-flash-lite_Total_Price	aggregate-mistral_Accuracy_Percent	aggregate-mistral_Unparsable_Percent	aggregate-mistral_Model_Error_Percent	aggregate-mistral_Total_Time_s	aggregate-mistral_Total_Price	aggregate-gpt-5_Accuracy_Percent	aggregate-gpt-5_Unparsable_Percent	aggregate-gpt-5_Model_Error_Percent	aggregate-gpt-5_Total_Time_s	aggregate-gpt-5_Total_Price	xiaomi_mimo-v2-omni_Accuracy_Percent	xiaomi_mimo-v2-omni_Unparsable_Percent	xiaomi_mimo-v2-omni_Model_Error_Percent	xiaomi_mimo-v2-omni_Total_Time_s	xiaomi_mimo-v2-omni_Total_Price	google_gemini-3.1-flash-lite-preview_Accuracy_Percent	google_gemini-3.1-flash-lite-preview_Unparsable_Percent	google_gemini-3.1-flash-lite-preview_Model_Error_Percent	google_gemini-3.1-flash-lite-preview_Total_Time_s	google_gemini-3.1-flash-lite-preview_Total_Price
piece_id	Jan_DuGrosserSchmerzensmann	43	20.93	5.88	0.0	136.63	0.004208	4.65	24.39	34.15	467.82	0.071802	27.91	0.0	0.0	176.4	0.01386	23.26	0.0	0.0	109.06	0.00258	2.33	23.81	33.33	687.7	0.111574	23.26	0.0	0.0	714.65	0.189877	16.28	0.0	0.0	119.2	0.02086
piece_id	Telemann_DerLiebenSonneLichtUndPracht	49	36.73	9.68	0.0	142.96	0.004367	18.37	30.0	40.0	525.3	0.092753	30.61	0.0	0.0	257.44	0.020582	46.94	0.0	0.0	157.35	0.003235	20.41	41.03	41.03	829.91	0.123801	46.94	0.0	0.0	775.78	0.207671	28.57	0.0	0.0	152.93	0.025125
piece_id	Vulpius_ChristusDerIstMeinLeben	63	26.98	17.39	0.0	205.36	0.00587	11.11	28.57	41.07	766.42	0.11439	41.27	0.0	0.0	299.76	0.027862	22.22	0.0	0.0	167.22	0.003869	9.52	29.82	40.35	1060.35	0.107292	22.22	0.0	0.0	1130.55	0.304749	20.63	2.0	0.0	213.07	0.033856
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	35	20.0	21.43	0.0	109.19	0.003709	8.57	31.25	37.5	381.61	0.06745	25.71	0.0	0.0	279.09	0.024066	17.14	0.0	0.0	103.03	0.002366	8.57	43.75	37.5	569.51	0.05826	20.0	0.0	0.0	422.24	0.11304	22.86	0.0	0.0	106.58	0.017737
is_nota_correct	0	360	24.44	11.76	0.0	1133.8	0.031863	7.5	30.93	36.04	3809.53	0.608242	21.94	0.0	0.0	2113.26	0.174296	29.44	0.39	0.0	1103.25	0.02236	7.78	32.83	36.14	5764.75	0.680983	9.17	0.0	0.0	5504.36	1.454597	28.61	0.39	0.0	1145.1	0.17601
is_nota_correct	1	87	41.38	17.65	0.0	301.38	0.008689	18.39	30.99	40.85	947.18	0.1571	45.98	0.0	0.0	476.18	0.041635	36.78	0.0	0.0	299.28	0.005353	11.49	38.96	37.66	1325.75	0.140987	89.66	0.0	0.0	1269.69	0.334487	19.54	0.0	0.0	269.81	0.043305
meta-question_id	0	38	28.95	0.0	0.0	91.18	0.002888	5.26	0.0	33.33	367.59	0.059152	13.16	0.0	0.0	154.46	0.012611	23.68	0.0	0.0	99.56	0.001814	5.26	0.0	33.33	622.64	0.066075	18.42	0.0	0.0	529.17	0.136794	23.68	0.0	0.0	91.5	0.016934
meta-question_id	1	36	33.33	0.0	0.0	87.74	0.002867	11.11	15.62	37.5	353.14	0.05775	13.89	0.0	0.0	85.59	0.006438	16.67	3.33	0.0	102.24	0.001821	16.67	16.67	40.0	576.22	0.059554	25.0	0.0	0.0	557.19	0.141627	41.67	0.0	0.0	108.63	0.017173
meta-question_id	2	40	7.5	27.03	0.0	99.03	0.003261	7.5	29.73	32.43	360.54	0.07677	22.5	0.0	0.0	225.5	0.019312	25.0	0.0	0.0	111.89	0.002369	10.0	47.22	33.33	675.65	0.074314	30.0	0.0	0.0	589.15	0.15469	7.5	0.0	0.0	123.71	0.022755
meta-question_id	3	36	44.44	0.0	0.0	110.16	0.002977	13.89	35.48	38.71	383.72	0.054965	25.0	0.0	0.0	270.95	0.023184	50.0	0.0	0.0	105.43	0.00221	16.67	43.33	40.0	667.58	0.102777	44.44	0.0	0.0	579.31	0.149419	55.56	0.0	0.0	140.0	0.016127
meta-question_id	4	72	30.56	8.0	0.0	375.96	0.006567	5.56	39.71	36.76	773.85	0.109937	25.0	0.0	0.0	253.38	0.018055	37.5	0.0	0.0	203.2	0.003928	8.33	36.36	37.88	1167.74	0.118815	19.44	0.0	0.0	923.16	0.236619	25.0	0.0	0.0	209.02	0.034827
meta-question_id	5	37	43.24	0.0	0.0	91.72	0.002934	16.22	35.48	45.16	447.79	0.060377	40.54	0.0	0.0	97.82	0.006236	37.84	0.0	0.0	78.53	0.002279	8.11	38.24	41.18	482.87	0.051463	27.03	0.0	0.0	379.02	0.093389	40.54	4.55	0.0	83.68	0.011814
meta-question_id	6	37	8.11	0.0	0.0	112.22	0.003864	8.11	26.47	32.35	409.65	0.070433	18.92	0.0	0.0	305.06	0.028821	8.11	0.0	0.0	133.59	0.002366	5.41	11.43	31.43	603.19	0.068553	24.32	0.0	0.0	916.08	0.258703	2.7	0.0	0.0	132.96	0.020769
meta-question_id	7	37	40.54	4.55	0.0	137.72	0.004135	5.41	37.14	34.29	445.66	0.070198	43.24	0.0	0.0	188.93	0.017099	29.73	0.0	0.0	176.36	0.002771	8.11	44.12	35.29	505.09	0.05525	24.32	0.0	0.0	485.26	0.130493	29.73	0.0	0.0	139.19	0.016452
meta-question_id	8	78	30.77	24.07	0.0	242.12	0.008261	12.82	35.29	39.71	864.37	0.14886	34.62	0.0	0.0	661.11	0.054811	42.31	0.0	0.0	283.21	0.005911	5.13	44.59	36.49	1268.55	0.167862	21.79	0.0	0.0	1208.44	0.333297	24.36	0.0	0.0	263.31	0.043029
meta-question_id	9	36	5.56	38.24	0.0	87.34	0.002799	11.11	43.75	37.5	350.4	0.0569	22.22	0.0	0.0	346.64	0.029363	19.44	0.0	0.0	108.52	0.002242	5.56	44.12	35.29	520.97	0.057306	22.22	0.0	0.0	607.25	0.154052	25.0	0.0	0.0	122.91	0.019436
category	harmony	151	27.15	24.55	0.0	467.19	0.015195	10.6	37.78	37.78	1660.43	0.275958	33.77	0.0	0.0	1196.67	0.101274	33.77	0.0	0.0	568.09	0.010924	5.96	44.37	35.92	2294.61	0.280418	22.52	0.0	0.0	2300.96	0.617842	25.83	0.0	0.0	525.41	0.078916
category	pitch	150	28.0	9.26	0.0	388.1	0.011992	9.33	19.85	35.29	1464.99	0.248638	18.67	0.0	0.0	736.5	0.061545	28.67	0.93	0.0	419.11	0.008215	12.0	26.52	36.36	2542.09	0.302721	29.33	0.0	0.0	2254.83	0.58253	31.33	0.0	0.0	463.84	0.072989
category	rhythm	146	28.08	3.81	0.0	579.9	0.013365	8.9	35.34	37.59	1631.29	0.240747	27.4	0.0	0.0	656.26	0.053111	30.14	0.0	0.0	415.32	0.008574	7.53	30.37	37.04	2253.8	0.238831	22.6	0.0	0.0	2218.26	0.588711	23.29	0.89	0.0	425.66	0.06741
subcategory	harmony-absolute	78	30.77	24.07	0.0	242.12	0.008261	12.82	35.29	39.71	864.37	0.14886	34.62	0.0	0.0	661.11	0.054811	42.31	0.0	0.0	283.21	0.005911	5.13	44.59	36.49	1268.55	0.167862	21.79	0.0	0.0	1208.44	0.333297	24.36	0.0	0.0	263.31	0.043029
subcategory	harmony-relative	73	23.29	25.0	0.0	225.06	0.006934	8.22	40.3	35.82	796.06	0.127098	32.88	0.0	0.0	535.56	0.046463	24.66	0.0	0.0	284.88	0.005013	6.85	44.12	35.29	1026.06	0.112556	23.29	0.0	0.0	1092.52	0.284545	27.4	0.0	0.0	262.1	0.035888
subcategory	pitch-absolute	74	31.08	0.0	0.0	178.92	0.005754	8.11	7.35	35.29	720.73	0.116902	13.51	0.0	0.0	240.05	0.019049	20.27	1.69	0.0	201.79	0.003635	10.81	7.58	36.36	1198.86	0.12563	21.62	0.0	0.0	1086.36	0.278421	32.43	0.0	0.0	200.13	0.034107
subcategory	pitch-relative	76	25.0	17.54	0.0	209.18	0.006238	10.53	32.35	35.29	744.26	0.131735	23.68	0.0	0.0	496.45	0.042496	36.84	0.0	0.0	217.32	0.00458	13.16	45.45	36.36	1343.23	0.177091	36.84	0.0	0.0	1168.47	0.304109	30.26	0.0	0.0	263.71	0.038882
subcategory	rhythm-absolute	72	30.56	8.0	0.0	375.96	0.006567	5.56	39.71	36.76	773.85	0.109937	25.0	0.0	0.0	253.38	0.018055	37.5	0.0	0.0	203.2	0.003928	8.33	36.36	37.88	1167.74	0.118815	19.44	0.0	0.0	923.16	0.236619	25.0	0.0	0.0	209.02	0.034827
subcategory	rhythm-relative	74	25.68	0.0	0.0	203.94	0.006798	12.16	30.77	38.46	857.44	0.13081	29.73	0.0	0.0	402.88	0.035056	22.97	0.0	0.0	212.12	0.004646	6.76	24.64	36.23	1086.06	0.120017	25.68	0.0	0.0	1295.1	0.352092	21.62	1.72	0.0	216.64	0.032583
skill	cadence recognition	36	5.56	38.24	0.0	87.34	0.002799	11.11	43.75	37.5	350.4	0.0569	22.22	0.0	0.0	346.64	0.029363	19.44	0.0	0.0	108.52	0.002242	5.56	44.12	35.29	520.97	0.057306	22.22	0.0	0.0	607.25	0.154052	25.0	0.0	0.0	122.91	0.019436
skill	chord recognition	78	30.77	24.07	0.0	242.12	0.008261	12.82	35.29	39.71	864.37	0.14886	34.62	0.0	0.0	661.11	0.054811	42.31	0.0	0.0	283.21	0.005911	5.13	44.59	36.49	1268.55	0.167862	21.79	0.0	0.0	1208.44	0.333297	24.36	0.0	0.0	263.31	0.043029
skill	interval recognition	40	7.5	27.03	0.0	99.03	0.003261	7.5	29.73	32.43	360.54	0.07677	22.5	0.0	0.0	225.5	0.019312	25.0	0.0	0.0	111.89	0.002369	10.0	47.22	33.33	675.65	0.074314	30.0	0.0	0.0	589.15	0.15469	7.5	0.0	0.0	123.71	0.022755
skill	interval statistics	36	44.44	0.0	0.0	110.16	0.002977	13.89	35.48	38.71	383.72	0.054965	25.0	0.0	0.0	270.95	0.023184	50.0	0.0	0.0	105.43	0.00221	16.67	43.33	40.0	667.58	0.102777	44.44	0.0	0.0	579.31	0.149419	55.56	0.0	0.0	140.0	0.016127
skill	note length	72	30.56	8.0	0.0	375.96	0.006567	5.56	39.71	36.76	773.85	0.109937	25.0	0.0	0.0	253.38	0.018055	37.5	0.0	0.0	203.2	0.003928	8.33	36.36	37.88	1167.74	0.118815	19.44	0.0	0.0	923.16	0.236619	25.0	0.0	0.0	209.02	0.034827
skill	pitch recognition	38	28.95	0.0	0.0	91.18	0.002888	5.26	0.0	33.33	367.59	0.059152	13.16	0.0	0.0	154.46	0.012611	23.68	0.0	0.0	99.56	0.001814	5.26	0.0	33.33	622.64	0.066075	18.42	0.0	0.0	529.17	0.136794	23.68	0.0	0.0	91.5	0.016934
skill	pitch statistics	36	33.33	0.0	0.0	87.74	0.002867	11.11	15.62	37.5	353.14	0.05775	13.89	0.0	0.0	85.59	0.006438	16.67	3.33	0.0	102.24	0.001821	16.67	16.67	40.0	576.22	0.059554	25.0	0.0	0.0	557.19	0.141627	41.67	0.0	0.0	108.63	0.017173
skill	rhythm pattern	37	8.11	0.0	0.0	112.22	0.003864	8.11	26.47	32.35	409.65	0.070433	18.92	0.0	0.0	305.06	0.028821	8.11	0.0	0.0	133.59	0.002366	5.41	11.43	31.43	603.19	0.068553	24.32	0.0	0.0	916.08	0.258703	2.7	0.0	0.0	132.96	0.020769
skill	time signature	37	43.24	0.0	0.0	91.72	0.002934	16.22	35.48	45.16	447.79	0.060377	40.54	0.0	0.0	97.82	0.006236	37.84	0.0	0.0	78.53	0.002279	8.11	38.24	41.18	482.87	0.051463	27.03	0.0	0.0	379.02	0.093389	40.54	4.55	0.0	83.68	0.011814
skill	tonality recognition	37	40.54	4.55	0.0	137.72	0.004135	5.41	37.14	34.29	445.66	0.070198	43.24	0.0	0.0	188.93	0.017099	29.73	0.0	0.0	176.36	0.002771	8.11	44.12	35.29	505.09	0.05525	24.32	0.0	0.0	485.26	0.130493	29.73	0.0	0.0	139.19	0.016452
rel/abs	absolute	224	30.8	10.97	0.0	797.0	0.020582	8.93	27.45	37.25	2358.95	0.3757	24.55	0.0	0.0	1154.54	0.091915	33.48	0.67	0.0	688.21	0.013474	8.04	30.1	36.89	3635.14	0.412307	20.98	0.0	0.0	3217.96	0.848338	27.23	0.0	0.0	672.46	0.111963
rel/abs	relative	223	24.66	14.29	0.0	638.19	0.01997	10.31	34.5	36.5	2397.76	0.389642	28.7	0.0	0.0	1434.9	0.124015	28.25	0.0	0.0	714.32	0.014239	8.97	37.93	35.96	3455.35	0.409664	28.7	0.0	0.0	3556.09	0.940745	26.46	0.61	0.0	742.45	0.107352
