Criterion_Type	Criterion_Value	Total_Items	google_gemini-2.0-flash-lite-001_Accuracy_Percent	aggregate-gpt-4o_Accuracy_Percent	google_gemini-2.5-flash-lite_Accuracy_Percent	aggregate-mistral_Accuracy_Percent	aggregate-gpt-5_Accuracy_Percent	xiaomi_mimo-v2-omni_Accuracy_Percent	google_gemini-3.1-flash-lite-preview_Accuracy_Percent	google_gemini-2.0-flash-lite-001_Unparsable_Percent	aggregate-gpt-4o_Unparsable_Percent	google_gemini-2.5-flash-lite_Unparsable_Percent	aggregate-mistral_Unparsable_Percent	aggregate-gpt-5_Unparsable_Percent	xiaomi_mimo-v2-omni_Unparsable_Percent	google_gemini-3.1-flash-lite-preview_Unparsable_Percent	google_gemini-2.0-flash-lite-001_Model_Error_Percent	aggregate-gpt-4o_Model_Error_Percent	google_gemini-2.5-flash-lite_Model_Error_Percent	aggregate-mistral_Model_Error_Percent	aggregate-gpt-5_Model_Error_Percent	xiaomi_mimo-v2-omni_Model_Error_Percent	google_gemini-3.1-flash-lite-preview_Model_Error_Percent	google_gemini-2.0-flash-lite-001_Total_Time_s	aggregate-gpt-4o_Total_Time_s	google_gemini-2.5-flash-lite_Total_Time_s	aggregate-mistral_Total_Time_s	aggregate-gpt-5_Total_Time_s	xiaomi_mimo-v2-omni_Total_Time_s	google_gemini-3.1-flash-lite-preview_Total_Time_s	google_gemini-2.0-flash-lite-001_Total_Price	aggregate-gpt-4o_Total_Price	google_gemini-2.5-flash-lite_Total_Price	aggregate-mistral_Total_Price	aggregate-gpt-5_Total_Price	xiaomi_mimo-v2-omni_Total_Price	google_gemini-3.1-flash-lite-preview_Total_Price
meta-question_id	2	40	7.5	7.5	22.5	25.0	10.0	30.0	7.5	27.03	29.73	0.0	0.0	47.22	0.0	0.0	0.0	32.43	0.0	0.0	33.33	0.0	0.0	99.03	360.54	225.5	111.89	675.65	589.15	123.71	0.003261	0.07677	0.019312	0.002369	0.074314	0.15469	0.022755
meta-question_id	3	36	44.44	13.89	25.0	50.0	16.67	44.44	55.56	0.0	35.48	0.0	0.0	43.33	0.0	0.0	0.0	38.71	0.0	0.0	40.0	0.0	0.0	110.16	383.72	270.95	105.43	667.58	579.31	140.0	0.002977	0.054965	0.023184	0.00221	0.102777	0.149419	0.016127
meta-question_id	4	72	30.56	5.56	25.0	37.5	8.33	19.44	25.0	8.0	39.71	0.0	0.0	36.36	0.0	0.0	0.0	36.76	0.0	0.0	37.88	0.0	0.0	375.96	773.85	253.38	203.2	1167.74	923.16	209.02	0.006567	0.109937	0.018055	0.003928	0.118815	0.236619	0.034827
meta-question_id	5	37	43.24	16.22	40.54	37.84	8.11	27.03	40.54	0.0	35.48	0.0	0.0	38.24	0.0	4.55	0.0	45.16	0.0	0.0	41.18	0.0	0.0	91.72	447.79	97.82	78.53	482.87	379.02	83.68	0.002934	0.060377	0.006236	0.002279	0.051463	0.093389	0.011814
meta-question_id	6	37	8.11	8.11	18.92	8.11	5.41	24.32	2.7	0.0	26.47	0.0	0.0	11.43	0.0	0.0	0.0	32.35	0.0	0.0	31.43	0.0	0.0	112.22	409.65	305.06	133.59	603.19	916.08	132.96	0.003864	0.070433	0.028821	0.002366	0.068553	0.258703	0.020769
meta-question_id	7	37	40.54	5.41	43.24	29.73	8.11	24.32	29.73	4.55	37.14	0.0	0.0	44.12	0.0	0.0	0.0	34.29	0.0	0.0	35.29	0.0	0.0	137.72	445.66	188.93	176.36	505.09	485.26	139.19	0.004135	0.070198	0.017099	0.002771	0.05525	0.130493	0.016452
meta-question_id	8	78	30.77	12.82	34.62	42.31	5.13	21.79	24.36	24.07	35.29	0.0	0.0	44.59	0.0	0.0	0.0	39.71	0.0	0.0	36.49	0.0	0.0	242.12	864.37	661.11	283.21	1268.55	1208.44	263.31	0.008261	0.14886	0.054811	0.005911	0.167862	0.333297	0.043029
meta-question_id	9	36	5.56	11.11	22.22	19.44	5.56	22.22	25.0	38.24	43.75	0.0	0.0	44.12	0.0	0.0	0.0	37.5	0.0	0.0	35.29	0.0	0.0	87.34	350.4	346.64	108.52	520.97	607.25	122.91	0.002799	0.0569	0.029363	0.002242	0.057306	0.154052	0.019436
category	harmony	151	27.15	10.6	33.77	33.77	5.96	22.52	25.83	24.55	37.78	0.0	0.0	44.37	0.0	0.0	0.0	37.78	0.0	0.0	35.92	0.0	0.0	467.19	1660.43	1196.67	568.09	2294.61	2300.96	525.41	0.015195	0.275958	0.101274	0.010924	0.280418	0.617842	0.078916
category	pitch	150	28.0	9.33	18.67	28.67	12.0	29.33	31.33	9.26	19.85	0.0	0.93	26.52	0.0	0.0	0.0	35.29	0.0	0.0	36.36	0.0	0.0	388.1	1464.99	736.5	419.11	2542.09	2254.83	463.84	0.011992	0.248638	0.061545	0.008215	0.302721	0.58253	0.072989
category	rhythm	146	28.08	8.9	27.4	30.14	7.53	22.6	23.29	3.81	35.34	0.0	0.0	30.37	0.0	0.89	0.0	37.59	0.0	0.0	37.04	0.0	0.0	579.9	1631.29	656.26	415.32	2253.8	2218.26	425.66	0.013365	0.240747	0.053111	0.008574	0.238831	0.588711	0.06741
subcategory	harmony-absolute	78	30.77	12.82	34.62	42.31	5.13	21.79	24.36	24.07	35.29	0.0	0.0	44.59	0.0	0.0	0.0	39.71	0.0	0.0	36.49	0.0	0.0	242.12	864.37	661.11	283.21	1268.55	1208.44	263.31	0.008261	0.14886	0.054811	0.005911	0.167862	0.333297	0.043029
subcategory	harmony-relative	73	23.29	8.22	32.88	24.66	6.85	23.29	27.4	25.0	40.3	0.0	0.0	44.12	0.0	0.0	0.0	35.82	0.0	0.0	35.29	0.0	0.0	225.06	796.06	535.56	284.88	1026.06	1092.52	262.1	0.006934	0.127098	0.046463	0.005013	0.112556	0.284545	0.035888
subcategory	pitch-absolute	74	31.08	8.11	13.51	20.27	10.81	21.62	32.43	0.0	7.35	0.0	1.69	7.58	0.0	0.0	0.0	35.29	0.0	0.0	36.36	0.0	0.0	178.92	720.73	240.05	201.79	1198.86	1086.36	200.13	0.005754	0.116902	0.019049	0.003635	0.12563	0.278421	0.034107
subcategory	pitch-relative	76	25.0	10.53	23.68	36.84	13.16	36.84	30.26	17.54	32.35	0.0	0.0	45.45	0.0	0.0	0.0	35.29	0.0	0.0	36.36	0.0	0.0	209.18	744.26	496.45	217.32	1343.23	1168.47	263.71	0.006238	0.131735	0.042496	0.00458	0.177091	0.304109	0.038882
subcategory	rhythm-absolute	72	30.56	5.56	25.0	37.5	8.33	19.44	25.0	8.0	39.71	0.0	0.0	36.36	0.0	0.0	0.0	36.76	0.0	0.0	37.88	0.0	0.0	375.96	773.85	253.38	203.2	1167.74	923.16	209.02	0.006567	0.109937	0.018055	0.003928	0.118815	0.236619	0.034827
subcategory	rhythm-relative	74	25.68	12.16	29.73	22.97	6.76	25.68	21.62	0.0	30.77	0.0	0.0	24.64	0.0	1.72	0.0	38.46	0.0	0.0	36.23	0.0	0.0	203.94	857.44	402.88	212.12	1086.06	1295.1	216.64	0.006798	0.13081	0.035056	0.004646	0.120017	0.352092	0.032583
skill	cadence recognition	36	5.56	11.11	22.22	19.44	5.56	22.22	25.0	38.24	43.75	0.0	0.0	44.12	0.0	0.0	0.0	37.5	0.0	0.0	35.29	0.0	0.0	87.34	350.4	346.64	108.52	520.97	607.25	122.91	0.002799	0.0569	0.029363	0.002242	0.057306	0.154052	0.019436
skill	chord recognition	78	30.77	12.82	34.62	42.31	5.13	21.79	24.36	24.07	35.29	0.0	0.0	44.59	0.0	0.0	0.0	39.71	0.0	0.0	36.49	0.0	0.0	242.12	864.37	661.11	283.21	1268.55	1208.44	263.31	0.008261	0.14886	0.054811	0.005911	0.167862	0.333297	0.043029
skill	interval recognition	40	7.5	7.5	22.5	25.0	10.0	30.0	7.5	27.03	29.73	0.0	0.0	47.22	0.0	0.0	0.0	32.43	0.0	0.0	33.33	0.0	0.0	99.03	360.54	225.5	111.89	675.65	589.15	123.71	0.003261	0.07677	0.019312	0.002369	0.074314	0.15469	0.022755
skill	interval statistics	36	44.44	13.89	25.0	50.0	16.67	44.44	55.56	0.0	35.48	0.0	0.0	43.33	0.0	0.0	0.0	38.71	0.0	0.0	40.0	0.0	0.0	110.16	383.72	270.95	105.43	667.58	579.31	140.0	0.002977	0.054965	0.023184	0.00221	0.102777	0.149419	0.016127
skill	note length	72	30.56	5.56	25.0	37.5	8.33	19.44	25.0	8.0	39.71	0.0	0.0	36.36	0.0	0.0	0.0	36.76	0.0	0.0	37.88	0.0	0.0	375.96	773.85	253.38	203.2	1167.74	923.16	209.02	0.006567	0.109937	0.018055	0.003928	0.118815	0.236619	0.034827
skill	pitch recognition	38	28.95	5.26	13.16	23.68	5.26	18.42	23.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.33	0.0	0.0	33.33	0.0	0.0	91.18	367.59	154.46	99.56	622.64	529.17	91.5	0.002888	0.059152	0.012611	0.001814	0.066075	0.136794	0.016934
skill	pitch statistics	36	33.33	11.11	13.89	16.67	16.67	25.0	41.67	0.0	15.62	0.0	3.33	16.67	0.0	0.0	0.0	37.5	0.0	0.0	40.0	0.0	0.0	87.74	353.14	85.59	102.24	576.22	557.19	108.63	0.002867	0.05775	0.006438	0.001821	0.059554	0.141627	0.017173
skill	rhythm pattern	37	8.11	8.11	18.92	8.11	5.41	24.32	2.7	0.0	26.47	0.0	0.0	11.43	0.0	0.0	0.0	32.35	0.0	0.0	31.43	0.0	0.0	112.22	409.65	305.06	133.59	603.19	916.08	132.96	0.003864	0.070433	0.028821	0.002366	0.068553	0.258703	0.020769
skill	time signature	37	43.24	16.22	40.54	37.84	8.11	27.03	40.54	0.0	35.48	0.0	0.0	38.24	0.0	4.55	0.0	45.16	0.0	0.0	41.18	0.0	0.0	91.72	447.79	97.82	78.53	482.87	379.02	83.68	0.002934	0.060377	0.006236	0.002279	0.051463	0.093389	0.011814
skill	tonality recognition	37	40.54	5.41	43.24	29.73	8.11	24.32	29.73	4.55	37.14	0.0	0.0	44.12	0.0	0.0	0.0	34.29	0.0	0.0	35.29	0.0	0.0	137.72	445.66	188.93	176.36	505.09	485.26	139.19	0.004135	0.070198	0.017099	0.002771	0.05525	0.130493	0.016452
rel/abs	absolute	224	30.8	8.93	24.55	33.48	8.04	20.98	27.23	10.97	27.45	0.0	0.67	30.1	0.0	0.0	0.0	37.25	0.0	0.0	36.89	0.0	0.0	797.0	2358.95	1154.54	688.21	3635.14	3217.96	672.46	0.020582	0.3757	0.091915	0.013474	0.412307	0.848338	0.111963
rel/abs	relative	223	24.66	10.31	28.7	28.25	8.97	28.7	26.46	14.29	34.5	0.0	0.0	37.93	0.0	0.61	0.0	36.5	0.0	0.0	35.96	0.0	0.0	638.19	2397.76	1434.9	714.32	3455.35	3556.09	742.45	0.01997	0.389642	0.124015	0.014239	0.409664	0.940745	0.107352
