Criterion_Type	Criterion_Value	Total_Items	google_gemini-2.0-flash-lite-001_Accuracy_Percent	aggregate-gpt-4o_Accuracy_Percent	google_gemini-2.5-flash-lite_Accuracy_Percent	aggregate-mistral_Accuracy_Percent	aggregate-gpt-5_Accuracy_Percent	google_gemini-3.1-flash-lite-preview_Accuracy_Percent	google_gemini-2.0-flash-lite-001_Unparsable_Percent	aggregate-gpt-4o_Unparsable_Percent	google_gemini-2.5-flash-lite_Unparsable_Percent	aggregate-mistral_Unparsable_Percent	aggregate-gpt-5_Unparsable_Percent	google_gemini-3.1-flash-lite-preview_Unparsable_Percent	google_gemini-2.0-flash-lite-001_Model_Error_Percent	aggregate-gpt-4o_Model_Error_Percent	google_gemini-2.5-flash-lite_Model_Error_Percent	aggregate-mistral_Model_Error_Percent	aggregate-gpt-5_Model_Error_Percent	google_gemini-3.1-flash-lite-preview_Model_Error_Percent	google_gemini-2.0-flash-lite-001_Total_Time_s	aggregate-gpt-4o_Total_Time_s	google_gemini-2.5-flash-lite_Total_Time_s	aggregate-mistral_Total_Time_s	aggregate-gpt-5_Total_Time_s	google_gemini-3.1-flash-lite-preview_Total_Time_s	google_gemini-2.0-flash-lite-001_Total_Price	aggregate-gpt-4o_Total_Price	google_gemini-2.5-flash-lite_Total_Price	aggregate-mistral_Total_Price	aggregate-gpt-5_Total_Price	google_gemini-3.1-flash-lite-preview_Total_Price
skill	cadence recognition	36	8.33	13.89	11.11	16.67	30.56	13.89	0.0	3.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	102.01	396.08	1056.26	207.55	758.28	181.55	0.024144	0.840845	0.121298	0.069188	0.671921	0.099439
skill	chord recognition	78	42.31	34.62	32.05	39.74	32.05	53.85	0.0	3.92	1.89	0.0	7.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	217.84	805.98	1769.4	625.74	1669.82	433.98	0.055998	1.986968	0.213195	0.166721	1.583803	0.229526
skill	interval recognition	40	20.0	15.0	17.5	25.0	20.0	15.0	0.0	0.0	0.0	0.0	21.88	2.94	0.0	0.0	0.0	0.0	0.0	0.0	109.37	306.42	733.16	234.74	825.83	175.69	0.027164	0.877243	0.096125	0.06526	0.744907	0.105626
skill	interval statistics	36	58.33	72.22	47.22	55.56	50.0	83.33	0.0	10.0	0.0	0.0	11.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	169.31	286.9	932.29	201.7	1275.57	142.76	0.026162	0.92052	0.124685	0.081297	0.768928	0.111809
skill	note length	72	22.22	18.06	20.83	33.33	26.39	18.06	0.0	0.0	0.0	0.0	11.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	326.86	679.89	847.17	499.25	1209.13	267.17	0.053497	1.867323	0.139038	0.16593	1.43466	0.21516
skill	pitch recognition	38	26.32	26.32	28.95	31.58	23.68	34.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	105.35	300.39	378.11	252.51	638.48	178.07	0.029202	0.971445	0.068593	0.08223	0.774767	0.115425
skill	pitch statistics	36	38.89	55.56	50.0	36.11	58.33	55.56	0.0	0.0	0.0	0.0	13.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	101.39	307.61	429.17	615.04	624.06	156.75	0.032108	1.086658	0.078261	0.104135	0.859339	0.127617
skill	rhythm pattern	37	13.51	8.11	5.41	8.11	10.81	2.7	0.0	5.88	0.0	0.0	3.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	123.27	328.83	419.15	164.82	628.34	200.8	0.028052	0.918925	0.07248	0.070139	0.756684	0.108487
skill	time signature	37	59.46	59.46	62.16	59.46	51.35	59.46	0.0	0.0	0.0	0.0	33.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.88	259.19	298.01	190.31	389.63	141.46	0.023745	0.843928	0.051986	0.080047	0.630366	0.090327
skill	tonality recognition	37	51.35	37.84	32.43	24.32	35.14	51.35	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	87.53	262.28	184.71	175.86	564.64	150.18	0.022782	0.787245	0.039672	0.067912	0.626099	0.088124
rel/abs	absolute	224	32.59	31.25	30.8	35.71	33.04	39.29	0.0	1.3	0.65	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	751.43	2093.88	3423.85	1992.55	4141.49	1035.97	0.170806	5.912392	0.499086	0.519017	4.65257	0.687729
rel/abs	relative	223	34.98	34.08	29.15	31.39	32.74	37.22	0.0	2.72	0.0	0.0	14.67	0.71	0.0	0.0	0.0	0.0	0.0	0.0	673.37	1839.7	3623.58	1174.98	4442.29	992.44	0.15205	5.188705	0.506247	0.433843	4.198906	0.603812
