Criterion_Type	Criterion_Value	Total_Items	google_gemini-2.0-flash-lite-001_normal_Accuracy_Percent	google_gemini-2.0-flash-lite-001_normal_Unparsable_Percent	google_gemini-2.0-flash-lite-001_normal_Model_Error_Percent	google_gemini-2.0-flash-lite-001_normal_Total_Time_s	google_gemini-2.0-flash-lite-001_normal_Total_Price	google_gemini-2.0-flash-lite-001_to_Accuracy_Percent	google_gemini-2.0-flash-lite-001_to_Unparsable_Percent	google_gemini-2.0-flash-lite-001_to_Model_Error_Percent	google_gemini-2.0-flash-lite-001_to_Total_Time_s	google_gemini-2.0-flash-lite-001_to_Total_Price	aggregate-gpt-4o_normal_Accuracy_Percent	aggregate-gpt-4o_normal_Unparsable_Percent	aggregate-gpt-4o_normal_Model_Error_Percent	aggregate-gpt-4o_normal_Total_Time_s	aggregate-gpt-4o_normal_Total_Price	aggregate-gpt-4o_to_Accuracy_Percent	aggregate-gpt-4o_to_Unparsable_Percent	aggregate-gpt-4o_to_Model_Error_Percent	aggregate-gpt-4o_to_Total_Time_s	aggregate-gpt-4o_to_Total_Price	google_gemini-2.5-flash-lite_normal_Accuracy_Percent	google_gemini-2.5-flash-lite_normal_Unparsable_Percent	google_gemini-2.5-flash-lite_normal_Model_Error_Percent	google_gemini-2.5-flash-lite_normal_Total_Time_s	google_gemini-2.5-flash-lite_normal_Total_Price	google_gemini-2.5-flash-lite_to_Accuracy_Percent	google_gemini-2.5-flash-lite_to_Unparsable_Percent	google_gemini-2.5-flash-lite_to_Model_Error_Percent	google_gemini-2.5-flash-lite_to_Total_Time_s	google_gemini-2.5-flash-lite_to_Total_Price	aggregate-mistral_normal_Accuracy_Percent	aggregate-mistral_normal_Unparsable_Percent	aggregate-mistral_normal_Model_Error_Percent	aggregate-mistral_normal_Total_Time_s	aggregate-mistral_normal_Total_Price	aggregate-mistral_to_Accuracy_Percent	aggregate-mistral_to_Unparsable_Percent	aggregate-mistral_to_Model_Error_Percent	aggregate-mistral_to_Total_Time_s	aggregate-mistral_to_Total_Price	aggregate-gpt-5_normal_Accuracy_Percent	aggregate-gpt-5_normal_Unparsable_Percent	aggregate-gpt-5_normal_Model_Error_Percent	aggregate-gpt-5_normal_Total_Time_s	aggregate-gpt-5_normal_Total_Price	aggregate-gpt-5_to_Accuracy_Percent	aggregate-gpt-5_to_Unparsable_Percent	aggregate-gpt-5_to_Model_Error_Percent	aggregate-gpt-5_to_Total_Time_s	aggregate-gpt-5_to_Total_Price	xiaomi_mimo-v2-omni_to_Accuracy_Percent	xiaomi_mimo-v2-omni_to_Unparsable_Percent	xiaomi_mimo-v2-omni_to_Model_Error_Percent	xiaomi_mimo-v2-omni_to_Total_Time_s	xiaomi_mimo-v2-omni_to_Total_Price	google_gemini-3.1-flash-lite-preview_normal_Accuracy_Percent	google_gemini-3.1-flash-lite-preview_normal_Unparsable_Percent	google_gemini-3.1-flash-lite-preview_normal_Model_Error_Percent	google_gemini-3.1-flash-lite-preview_normal_Total_Time_s	google_gemini-3.1-flash-lite-preview_normal_Total_Price	google_gemini-3.1-flash-lite-preview_to_Accuracy_Percent	google_gemini-3.1-flash-lite-preview_to_Unparsable_Percent	google_gemini-3.1-flash-lite-preview_to_Model_Error_Percent	google_gemini-3.1-flash-lite-preview_to_Total_Time_s	google_gemini-3.1-flash-lite-preview_to_Total_Price
piece_id	Jan_DuGrosserSchmerzensmann	43	25.58	0.0	0.0	139.96	0.033959	20.93	5.88	0.0	136.63	0.004208	23.26	6.06	0.0	374.31	1.122035	4.65	24.39	34.15	467.82	0.071802	25.58	0.0	0.0	646.36	0.098294	27.91	0.0	0.0	176.4	0.01386	20.93	0.0	0.0	232.9	0.092319	23.26	0.0	0.0	109.06	0.00258	25.58	9.38	0.0	847.53	0.936886	2.33	23.81	33.33	687.7	0.111574	23.26	0.0	0.0	714.65	0.189877	23.26	0.0	0.0	185.69	0.134857	16.28	0.0	0.0	119.2	0.02086
piece_id	Telemann_DerLiebenSonneLichtUndPracht	49	38.78	0.0	0.0	178.56	0.043486	36.73	9.68	0.0	142.96	0.004367	40.82	3.45	0.0	507.47	1.525455	18.37	30.0	40.0	525.3	0.092753	30.61	2.94	0.0	869.69	0.127886	30.61	0.0	0.0	257.44	0.020582	44.9	0.0	0.0	363.3	0.138343	46.94	0.0	0.0	157.35	0.003235	34.69	12.5	0.0	983.03	1.164876	20.41	41.03	41.03	829.91	0.123801	46.94	0.0	0.0	775.78	0.207671	48.98	0.0	0.0	231.92	0.170096	28.57	0.0	0.0	152.93	0.025125
piece_id	Vulpius_ChristusDerIstMeinLeben	63	31.75	0.0	0.0	161.06	0.031267	26.98	17.39	0.0	205.36	0.00587	30.16	0.0	0.0	497.88	1.120228	11.11	28.57	41.07	766.42	0.11439	33.33	0.0	0.0	968.08	0.122854	41.27	0.0	0.0	299.76	0.027862	28.57	0.0	0.0	277.53	0.093534	22.22	0.0	0.0	167.22	0.003869	28.57	13.33	0.0	1287.03	0.890552	9.52	29.82	40.35	1060.35	0.107292	22.22	0.0	0.0	1130.55	0.304749	33.33	2.38	0.0	289.48	0.12888	20.63	2.0	0.0	213.07	0.033856
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	35	20.0	0.0	0.0	95.02	0.018182	20.0	21.43	0.0	109.19	0.003709	25.71	0.0	0.0	215.19	0.56566	8.57	31.25	37.5	381.61	0.06745	20.0	0.0	0.0	536.26	0.064861	25.71	0.0	0.0	279.09	0.024066	28.57	0.0	0.0	156.62	0.036449	17.14	0.0	0.0	103.03	0.002366	31.43	29.17	0.0	652.23	0.513279	8.57	43.75	37.5	569.51	0.05826	20.0	0.0	0.0	422.24	0.11304	40.0	0.0	0.0	152.13	0.075058	22.86	0.0	0.0	106.58	0.017737
is_nota_correct	0	360	36.39	0.0	0.0	1143.9	0.258999	24.44	11.76	0.0	1133.8	0.031863	33.61	1.67	0.0	3176.13	8.954465	7.5	30.93	36.04	3809.53	0.608242	31.67	0.0	0.0	5763.85	0.813559	21.94	0.0	0.0	2113.26	0.174296	33.89	0.0	0.0	2599.12	0.776684	29.44	0.39	0.0	1103.25	0.02236	30.83	11.24	0.0	6969.24	7.119478	7.78	32.83	36.14	5764.75	0.680983	9.17	0.0	0.0	5504.36	1.454597	37.22	0.44	0.0	1652.16	1.039067	28.61	0.39	0.0	1145.1	0.17601
is_nota_correct	1	87	22.99	0.0	0.0	280.89	0.063856	41.38	17.65	0.0	301.38	0.008689	28.74	3.23	0.0	757.45	2.146632	18.39	30.99	40.85	947.18	0.1571	22.99	1.49	0.0	1283.57	0.191774	45.98	0.0	0.0	476.18	0.041635	32.18	0.0	0.0	568.41	0.176175	36.78	0.0	0.0	299.28	0.005353	41.38	11.76	0.0	1614.54	1.731998	11.49	38.96	37.66	1325.75	0.140987	89.66	0.0	0.0	1269.69	0.334487	42.53	0.0	0.0	376.25	0.252474	19.54	0.0	0.0	269.81	0.043305
meta-question_id	0	38	26.32	0.0	0.0	105.35	0.029202	28.95	0.0	0.0	91.18	0.002888	26.32	0.0	0.0	300.39	0.971445	5.26	0.0	33.33	367.59	0.059152	28.95	0.0	0.0	378.11	0.068593	13.16	0.0	0.0	154.46	0.012611	31.58	0.0	0.0	252.51	0.08223	23.68	0.0	0.0	99.56	0.001814	23.68	0.0	0.0	638.48	0.774767	5.26	0.0	33.33	622.64	0.066075	18.42	0.0	0.0	529.17	0.136794	34.21	0.0	0.0	178.07	0.115425	23.68	0.0	0.0	91.5	0.016934
meta-question_id	1	36	38.89	0.0	0.0	101.39	0.032108	33.33	0.0	0.0	87.74	0.002867	55.56	0.0	0.0	307.61	1.086658	11.11	15.62	37.5	353.14	0.05775	50.0	0.0	0.0	429.17	0.078261	13.89	0.0	0.0	85.59	0.006438	36.11	0.0	0.0	615.04	0.104135	16.67	3.33	0.0	102.24	0.001821	58.33	13.33	0.0	624.06	0.859339	16.67	16.67	40.0	576.22	0.059554	25.0	0.0	0.0	557.19	0.141627	55.56	0.0	0.0	156.75	0.127617	41.67	0.0	0.0	108.63	0.017173
meta-question_id	2	40	20.0	0.0	0.0	109.37	0.027164	7.5	27.03	0.0	99.03	0.003261	15.0	0.0	0.0	306.42	0.877243	7.5	29.73	32.43	360.54	0.07677	17.5	0.0	0.0	733.16	0.096125	22.5	0.0	0.0	225.5	0.019312	25.0	0.0	0.0	234.74	0.06526	25.0	0.0	0.0	111.89	0.002369	20.0	21.88	0.0	825.83	0.744907	10.0	47.22	33.33	675.65	0.074314	30.0	0.0	0.0	589.15	0.15469	15.0	2.94	0.0	175.69	0.105626	7.5	0.0	0.0	123.71	0.022755
meta-question_id	3	36	58.33	0.0	0.0	169.31	0.026162	44.44	0.0	0.0	110.16	0.002977	72.22	10.0	0.0	286.9	0.92052	13.89	35.48	38.71	383.72	0.054965	47.22	0.0	0.0	932.29	0.124685	25.0	0.0	0.0	270.95	0.023184	55.56	0.0	0.0	201.7	0.081297	50.0	0.0	0.0	105.43	0.00221	50.0	11.11	0.0	1275.57	0.768928	16.67	43.33	40.0	667.58	0.102777	44.44	0.0	0.0	579.31	0.149419	83.33	0.0	0.0	142.76	0.111809	55.56	0.0	0.0	140.0	0.016127
meta-question_id	4	72	22.22	0.0	0.0	326.86	0.053497	30.56	8.0	0.0	375.96	0.006567	18.06	0.0	0.0	679.89	1.867323	5.56	39.71	36.76	773.85	0.109937	20.83	0.0	0.0	847.17	0.139038	25.0	0.0	0.0	253.38	0.018055	33.33	0.0	0.0	499.25	0.16593	37.5	0.0	0.0	203.2	0.003928	26.39	11.32	0.0	1209.13	1.43466	8.33	36.36	37.88	1167.74	0.118815	19.44	0.0	0.0	923.16	0.236619	18.06	0.0	0.0	267.17	0.21516	25.0	0.0	0.0	209.02	0.034827
meta-question_id	5	37	59.46	0.0	0.0	81.88	0.023745	43.24	0.0	0.0	91.72	0.002934	59.46	0.0	0.0	259.19	0.843928	16.22	35.48	45.16	447.79	0.060377	62.16	0.0	0.0	298.01	0.051986	40.54	0.0	0.0	97.82	0.006236	59.46	0.0	0.0	190.31	0.080047	37.84	0.0	0.0	78.53	0.002279	51.35	33.33	0.0	389.63	0.630366	8.11	38.24	41.18	482.87	0.051463	27.03	0.0	0.0	379.02	0.093389	59.46	0.0	0.0	141.46	0.090327	40.54	4.55	0.0	83.68	0.011814
meta-question_id	6	37	13.51	0.0	0.0	123.27	0.028052	8.11	0.0	0.0	112.22	0.003864	8.11	5.88	0.0	328.83	0.918925	8.11	26.47	32.35	409.65	0.070433	5.41	0.0	0.0	419.15	0.07248	18.92	0.0	0.0	305.06	0.028821	8.11	0.0	0.0	164.82	0.070139	8.11	0.0	0.0	133.59	0.002366	10.81	3.03	0.0	628.34	0.756684	5.41	11.43	31.43	603.19	0.068553	24.32	0.0	0.0	916.08	0.258703	2.7	0.0	0.0	200.8	0.108487	2.7	0.0	0.0	132.96	0.020769
meta-question_id	7	37	51.35	0.0	0.0	87.53	0.022782	40.54	4.55	0.0	137.72	0.004135	37.84	0.0	0.0	262.28	0.787245	5.41	37.14	34.29	445.66	0.070198	32.43	0.0	0.0	184.71	0.039672	43.24	0.0	0.0	188.93	0.017099	24.32	0.0	0.0	175.86	0.067912	29.73	0.0	0.0	176.36	0.002771	35.14	25.0	0.0	564.64	0.626099	8.11	44.12	35.29	505.09	0.05525	24.32	0.0	0.0	485.26	0.130493	51.35	0.0	0.0	150.18	0.088124	29.73	0.0	0.0	139.19	0.016452
meta-question_id	8	78	42.31	0.0	0.0	217.84	0.055998	30.77	24.07	0.0	242.12	0.008261	34.62	3.92	0.0	805.98	1.986968	12.82	35.29	39.71	864.37	0.14886	32.05	1.89	0.0	1769.4	0.213195	34.62	0.0	0.0	661.11	0.054811	39.74	0.0	0.0	625.74	0.166721	42.31	0.0	0.0	283.21	0.005911	32.05	7.55	0.0	1669.82	1.583803	5.13	44.59	36.49	1268.55	0.167862	21.79	0.0	0.0	1208.44	0.333297	53.85	0.0	0.0	433.98	0.229526	24.36	0.0	0.0	263.31	0.043029
meta-question_id	9	36	8.33	0.0	0.0	102.01	0.024144	5.56	38.24	0.0	87.34	0.002799	13.89	3.23	0.0	396.08	0.840845	11.11	43.75	37.5	350.4	0.0569	11.11	0.0	0.0	1056.26	0.121298	22.22	0.0	0.0	346.64	0.029363	16.67	0.0	0.0	207.55	0.069188	19.44	0.0	0.0	108.52	0.002242	30.56	0.0	0.0	758.28	0.671921	5.56	44.12	35.29	520.97	0.057306	22.22	0.0	0.0	607.25	0.154052	13.89	0.0	0.0	181.55	0.099439	25.0	0.0	0.0	122.91	0.019436
category	harmony	151	36.42	0.0	0.0	407.38	0.102923	27.15	24.55	0.0	467.19	0.015195	30.46	2.86	0.0	1464.34	3.615058	10.6	37.78	37.78	1660.43	0.275958	27.15	0.91	0.0	3010.38	0.374165	33.77	0.0	0.0	1196.67	0.101274	30.46	0.0	0.0	1009.16	0.303822	33.77	0.0	0.0	568.09	0.010924	32.45	9.8	0.0	2992.74	2.881823	5.96	44.37	35.92	2294.61	0.280418	22.52	0.0	0.0	2300.96	0.617842	43.71	0.0	0.0	765.71	0.417089	25.83	0.0	0.0	525.41	0.078916
category	pitch	150	35.33	0.0	0.0	485.41	0.114637	28.0	9.26	0.0	388.1	0.011992	41.33	1.14	0.0	1201.33	3.855865	9.33	19.85	35.29	1464.99	0.248638	35.33	0.0	0.0	2472.73	0.367664	18.67	0.0	0.0	736.5	0.061545	36.67	0.0	0.0	1303.98	0.332922	28.67	0.93	0.0	419.11	0.008215	37.33	11.7	0.0	3363.94	3.147942	12.0	26.52	36.36	2542.09	0.302721	29.33	0.0	0.0	2254.83	0.58253	46.0	1.23	0.0	653.27	0.460478	31.33	0.0	0.0	463.84	0.072989
category	rhythm	146	29.45	0.0	0.0	532.0	0.105295	28.08	3.81	0.0	579.9	0.013365	26.03	1.85	0.0	1267.91	3.630175	8.9	35.34	37.59	1631.29	0.240747	27.4	0.0	0.0	1564.33	0.263504	27.4	0.0	0.0	656.26	0.053111	33.56	0.0	0.0	854.39	0.316116	30.14	0.0	0.0	415.32	0.008574	28.77	12.5	0.0	2227.1	2.82171	7.53	30.37	37.04	2253.8	0.238831	22.6	0.0	0.0	2218.26	0.588711	24.66	0.0	0.0	609.43	0.413975	23.29	0.89	0.0	425.66	0.06741
subcategory	harmony-absolute	78	42.31	0.0	0.0	217.84	0.055998	30.77	24.07	0.0	242.12	0.008261	34.62	3.92	0.0	805.98	1.986968	12.82	35.29	39.71	864.37	0.14886	32.05	1.89	0.0	1769.4	0.213195	34.62	0.0	0.0	661.11	0.054811	39.74	0.0	0.0	625.74	0.166721	42.31	0.0	0.0	283.21	0.005911	32.05	7.55	0.0	1669.82	1.583803	5.13	44.59	36.49	1268.55	0.167862	21.79	0.0	0.0	1208.44	0.333297	53.85	0.0	0.0	433.98	0.229526	24.36	0.0	0.0	263.31	0.043029
subcategory	harmony-relative	73	30.14	0.0	0.0	189.54	0.046926	23.29	25.0	0.0	225.06	0.006934	26.03	1.85	0.0	658.36	1.62809	8.22	40.3	35.82	796.06	0.127098	21.92	0.0	0.0	1240.97	0.16097	32.88	0.0	0.0	535.56	0.046463	20.55	0.0	0.0	383.41	0.1371	24.66	0.0	0.0	284.88	0.005013	32.88	12.24	0.0	1322.92	1.298021	6.85	44.12	35.29	1026.06	0.112556	23.29	0.0	0.0	1092.52	0.284545	32.88	0.0	0.0	331.73	0.187562	27.4	0.0	0.0	262.1	0.035888
subcategory	pitch-absolute	74	32.43	0.0	0.0	206.73	0.061311	31.08	0.0	0.0	178.92	0.005754	40.54	0.0	0.0	608.0	2.058102	8.11	7.35	35.29	720.73	0.116902	39.19	0.0	0.0	807.27	0.146854	13.51	0.0	0.0	240.05	0.019049	33.78	0.0	0.0	867.55	0.186365	20.27	1.69	0.0	201.79	0.003635	40.54	4.55	0.0	1262.54	1.634107	10.81	7.58	36.36	1198.86	0.12563	21.62	0.0	0.0	1086.36	0.278421	44.59	0.0	0.0	334.82	0.243043	32.43	0.0	0.0	200.13	0.034107
subcategory	pitch-relative	76	38.16	0.0	0.0	278.68	0.053326	25.0	17.54	0.0	209.18	0.006238	42.11	2.27	0.0	593.33	1.797763	10.53	32.35	35.29	744.26	0.131735	31.58	0.0	0.0	1665.45	0.220811	23.68	0.0	0.0	496.45	0.042496	39.47	0.0	0.0	436.43	0.146557	36.84	0.0	0.0	217.32	0.00458	34.21	18.0	0.0	2101.4	1.513835	13.16	45.45	36.36	1343.23	0.177091	36.84	0.0	0.0	1168.47	0.304109	47.37	2.5	0.0	318.45	0.217435	30.26	0.0	0.0	263.71	0.038882
subcategory	rhythm-absolute	72	22.22	0.0	0.0	326.86	0.053497	30.56	8.0	0.0	375.96	0.006567	18.06	0.0	0.0	679.89	1.867323	5.56	39.71	36.76	773.85	0.109937	20.83	0.0	0.0	847.17	0.139038	25.0	0.0	0.0	253.38	0.018055	33.33	0.0	0.0	499.25	0.16593	37.5	0.0	0.0	203.2	0.003928	26.39	11.32	0.0	1209.13	1.43466	8.33	36.36	37.88	1167.74	0.118815	19.44	0.0	0.0	923.16	0.236619	18.06	0.0	0.0	267.17	0.21516	25.0	0.0	0.0	209.02	0.034827
subcategory	rhythm-relative	74	36.49	0.0	0.0	205.15	0.051798	25.68	0.0	0.0	203.94	0.006798	33.78	4.08	0.0	588.02	1.762853	12.16	30.77	38.46	857.44	0.13081	33.78	0.0	0.0	717.16	0.124466	29.73	0.0	0.0	402.88	0.035056	33.78	0.0	0.0	355.14	0.150186	22.97	0.0	0.0	212.12	0.004646	31.08	13.73	0.0	1017.97	1.38705	6.76	24.64	36.23	1086.06	0.120017	25.68	0.0	0.0	1295.1	0.352092	31.08	0.0	0.0	342.26	0.198814	21.62	1.72	0.0	216.64	0.032583
skill	cadence recognition	36	8.33	0.0	0.0	102.01	0.024144	5.56	38.24	0.0	87.34	0.002799	13.89	3.23	0.0	396.08	0.840845	11.11	43.75	37.5	350.4	0.0569	11.11	0.0	0.0	1056.26	0.121298	22.22	0.0	0.0	346.64	0.029363	16.67	0.0	0.0	207.55	0.069188	19.44	0.0	0.0	108.52	0.002242	30.56	0.0	0.0	758.28	0.671921	5.56	44.12	35.29	520.97	0.057306	22.22	0.0	0.0	607.25	0.154052	13.89	0.0	0.0	181.55	0.099439	25.0	0.0	0.0	122.91	0.019436
