Criterion_Type	Criterion_Value	google_gemini-2.0-flash-lite-001_Mean_Accuracy_(10_runs)	google_gemini-2.0-flash-lite-001_Mean_Unparsable_Percent	google_gemini-2.0-flash-lite-001_Mean_Model_Error_Percent	google_gemini-2.0-flash-lite-001_Sum_Total_Time_s	google_gemini-2.0-flash-lite-001_Sum_Total_Price	google_gemini-3.1-flash-lite-preview_Mean_Accuracy_(10_runs)	google_gemini-3.1-flash-lite-preview_Mean_Unparsable_Percent	google_gemini-3.1-flash-lite-preview_Mean_Model_Error_Percent	google_gemini-3.1-flash-lite-preview_Sum_Total_Time_s	google_gemini-3.1-flash-lite-preview_Sum_Total_Price	Qwen_Qwen3-Omni-30B-A3B-Thinking_Mean_Accuracy_(10_runs)	Qwen_Qwen3-Omni-30B-A3B-Thinking_Mean_Unparsable_Percent	Qwen_Qwen3-Omni-30B-A3B-Thinking_Mean_Model_Error_Percent	Qwen_Qwen3-Omni-30B-A3B-Thinking_Sum_Total_Time_s	Qwen_Qwen3-Omni-30B-A3B-Thinking_Sum_Total_Price
piece_id	Telemann_DerLiebenSonneLichtUndPracht	26.158	19.562	0.0	357.19	0.0119	35.206	0.0	0.0	366.78	0.0744	19.412	0.0	0.0	1360.27	0.0
piece_id	Vulpius_ChristusDerIstMeinLeben	25.229	10.263	0.0	430.62	0.0146	38.524	0.0	0.0	426.74	0.0832	23.872	0.0	0.0	2399.92	0.0
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	22.897	11.967	0.0	337.45	0.0114	26.944	0.0	0.0	375.41	0.0707	19.882	0.0	0.0	1719.82	0.0
is_nota_correct	0	19.415	12.291	0.0	3251.53	0.1111	33.751	0.0	0.0	3273.37	0.6387	19.999	0.0	0.0	16450.51	0.0
is_nota_correct	1	37.666	14.974	0.0	780.08	0.0267	16.667	0.4	0.0	794.71	0.1574	35.335	0.0	0.0	3764.51	0.0
meta-question_id	1	23.333	0.0	0.0	357.01	0.0119	20.0	0.0	0.0	372.06	0.0808	20.0	0.0	0.0	2315.82	0.0
meta-question_id	10	28.888	41.477	0.0	250.26	0.0085	42.221	0.0	0.0	236.73	0.0478	22.221	0.0	0.0	883.46	0.0
meta-question_id	11	17.776	39.531	0.0	214.45	0.0072	26.665	0.0	0.0	245.03	0.0458	9.999	0.0	0.0	898.81	0.0
meta-question_id	2	19.334	3.714	0.0	369.39	0.0119	22.0	0.0	0.0	390.09	0.0759	24.666	0.0	0.0	1623.12	0.0
meta-question_id	3	16.001	22.817	0.0	389.45	0.0135	21.999	0.0	0.0	422.38	0.0863	25.334	0.0	0.0	1678.15	0.0
meta-question_id	4	28.668	0.714	0.0	384.22	0.0128	40.665	0.0	0.0	444.26	0.0787	21.334	0.0	0.0	1954.74	0.0
meta-question_id	5	26.667	26.317	0.0	397.87	0.0129	40.0	0.0	0.0	426.49	0.0836	19.334	0.0	0.0	2393.7	0.0
meta-question_id	6	36.666	8.464	0.0	421.93	0.0144	34.001	0.0	0.0	403.02	0.0789	33.334	0.0	0.0	2046.55	0.0
meta-question_id	7	23.333	13.753	0.0	483.52	0.0182	37.334	0.0	0.0	407.19	0.0873	25.334	0.0	0.0	2404.27	0.0
meta-question_id	8	11.334	0.714	0.0	427.85	0.0149	20.001	0.0	0.0	423.08	0.0774	14.666	0.0	0.0	2865.41	0.0
meta-question_id	9	21.666	2.0	0.0	335.69	0.0117	32.501	1.429	0.0	297.7	0.0536	34.165	0.0	0.0	1150.99	0.0
category	harmony	22.666	24.864	0.0	800.42	0.0274	33.666	0.435	0.0	779.5	0.1472	23.333	0.0	0.0	2933.25	0.0
category	pitch	21.834	7.625	0.0	1500.05	0.05	26.167	0.0	0.0	1628.79	0.3217	22.833	0.0	0.0	7571.83	0.0
category	rhythm	24.5	11.85	0.0	1731.15	0.0604	32.832	0.0	0.0	1659.8	0.3273	23.167	0.0	0.0	9709.92	0.0
subcategory	harmonic-recognition	22.666	24.864	0.0	800.42	0.0274	33.666	0.435	0.0	779.5	0.1472	23.333	0.0	0.0	2933.25	0.0
subcategory	interval-recognition	22.333	12.966	0.0	773.66	0.0263	31.334	0.0	0.0	866.64	0.1649	23.335	0.0	0.0	3632.91	0.0
subcategory	pitch-recognition	21.333	2.032	0.0	726.38	0.0238	20.998	0.0	0.0	762.14	0.1568	22.333	0.0	0.0	3938.93	0.0
subcategory	proportion-recognition	17.334	6.99	0.0	911.36	0.0331	28.665	0.0	0.0	830.26	0.1648	20.0	0.0	0.0	5269.69	0.0
subcategory	rhythmic-recognition	31.667	18.069	0.0	819.78	0.0273	37.001	0.0	0.0	829.54	0.1625	26.334	0.0	0.0	4440.22	0.0
skill	cadence recognition	17.776	39.531	0.0	214.45	0.0072	26.665	0.0	0.0	245.03	0.0458	9.999	0.0	0.0	898.81	0.0
skill	chord recognition	28.888	41.477	0.0	250.26	0.0085	42.221	0.0	0.0	236.73	0.0478	22.221	0.0	0.0	883.46	0.0
skill	interval recognition	16.001	22.817	0.0	389.45	0.0135	21.999	0.0	0.0	422.38	0.0863	25.334	0.0	0.0	1678.15	0.0
skill	interval statistics	28.668	0.714	0.0	384.22	0.0128	40.665	0.0	0.0	444.26	0.0787	21.334	0.0	0.0	1954.74	0.0
skill	note length	26.667	26.317	0.0	397.87	0.0129	40.0	0.0	0.0	426.49	0.0836	19.334	0.0	0.0	2393.7	0.0
skill	note length statistics	36.666	8.464	0.0	421.93	0.0144	34.001	0.0	0.0	403.02	0.0789	33.334	0.0	0.0	2046.55	0.0
skill	pitch recognition	23.333	0.0	0.0	357.01	0.0119	20.0	0.0	0.0	372.06	0.0808	20.0	0.0	0.0	2315.82	0.0
skill	pitch statistics	19.334	3.714	0.0	369.39	0.0119	22.0	0.0	0.0	390.09	0.0759	24.666	0.0	0.0	1623.12	0.0
skill	rhythm pattern	23.333	13.753	0.0	483.52	0.0182	37.334	0.0	0.0	407.19	0.0873	25.334	0.0	0.0	2404.27	0.0
skill	rhythm pattern statistics	11.334	0.714	0.0	427.85	0.0149	20.001	0.0	0.0	423.08	0.0774	14.666	0.0	0.0	2865.41	0.0
skill	tonality recognition	21.666	2.0	0.0	335.69	0.0117	32.501	1.429	0.0	297.7	0.0536	34.165	0.0	0.0	1150.99	0.0
rel/abs	absolute	26.813	13.019	0.0	1796.42	0.0596	30.726	0.0	0.0	1828.41	0.3671	24.058	0.0	0.0	9262.63	0.0
rel/abs	relative	19.876	12.477	0.0	2235.17	0.0783	30.0	0.175	0.0	2239.66	0.429	22.222	0.0	0.0	10952.4	0.0
specification	harmony-absolute	28.888	41.477	0.0	250.26	0.0085	42.221	0.0	0.0	236.73	0.0478	22.221	0.0	0.0	883.46	0.0
specification	harmony-relative	20.001	18.905	0.0	550.17	0.0189	30.0	0.667	0.0	542.75	0.0994	23.81	0.0	0.0	2049.79	0.0
specification	pitch-absolute	21.333	2.032	0.0	726.38	0.0238	20.998	0.0	0.0	762.14	0.1568	22.333	0.0	0.0	3938.93	0.0
specification	pitch-relative	22.333	12.966	0.0	773.66	0.0263	31.334	0.0	0.0	866.64	0.1649	23.335	0.0	0.0	3632.91	0.0
specification	rhythm-absolute	31.667	18.069	0.0	819.78	0.0273	37.001	0.0	0.0	829.54	0.1625	26.334	0.0	0.0	4440.22	0.0
specification	rhythm-relative	17.334	6.99	0.0	911.36	0.0331	28.665	0.0	0.0	830.26	0.1648	20.0	0.0	0.0	5269.69	0.0
