Criterion_Type	Criterion_Value	google_gemini-2.0-flash-lite-001_Mean_Accuracy_(10_runs)	google_gemini-2.0-flash-lite-001_Mean_Unparsable_Percent	google_gemini-2.0-flash-lite-001_Mean_Model_Error_Percent	google_gemini-2.0-flash-lite-001_Sum_Total_Time_s	google_gemini-2.0-flash-lite-001_Sum_Total_Price	google_gemini-3.1-flash-lite-preview_Mean_Accuracy_(10_runs)	google_gemini-3.1-flash-lite-preview_Mean_Unparsable_Percent	google_gemini-3.1-flash-lite-preview_Mean_Model_Error_Percent	google_gemini-3.1-flash-lite-preview_Sum_Total_Time_s	google_gemini-3.1-flash-lite-preview_Sum_Total_Price
meta-question_id	9	31.833	1.432	0.0	1779.84	0.0621	37.667	0.0	0.0	1683.56	0.27
category	harmony	22.199	26.143	0.0	8031.58	0.2751	34.201	0.557	0.051	9260.95	1.5245
category	pitch	21.9	9.367	0.0	15683.64	0.5139	29.284	0.329	0.0	18353.45	3.2577
category	rhythm	23.584	11.092	0.0	17296.75	0.6037	33.383	0.226	0.073	18544.61	3.2972
subcategory	harmonic-recognition	22.199	26.143	0.0	8031.58	0.2751	34.201	0.557	0.051	9260.95	1.5245
subcategory	interval-recognition	21.433	16.439	0.0	7969.01	0.2661	35.233	0.311	0.0	9503.39	1.6897
subcategory	pitch-recognition	22.366	2.203	0.0	7714.64	0.2478	23.335	0.342	0.0	8850.05	1.568
subcategory	proportion-recognition	18.833	5.999	0.0	9298.63	0.3346	27.166	0.321	0.046	8947.07	1.6651
subcategory	rhythmic-recognition	28.334	16.897	0.0	7998.11	0.2691	39.599	0.106	0.103	9597.57	1.6321
skill	cadence recognition	15.916	31.025	0.0	2903.28	0.0982	23.835	0.657	0.112	3845.7	0.6332
skill	chord recognition	23.667	31.823	0.0	3348.45	0.1148	42.834	0.708	0.0	3731.7	0.6213
skill	interval recognition	16.665	25.604	0.0	3924.11	0.1331	28.2	0.371	0.0	4640.07	0.904
skill	interval statistics	26.2	6.115	0.0	4044.9	0.133	42.264	0.213	0.0	4863.33	0.7857
skill	note length	20.867	26.051	0.0	3727.81	0.1225	39.401	0.204	0.22	4573.48	0.8062
skill	note length statistics	35.799	5.725	0.0	4270.32	0.1467	39.8	0.0	0.0	5024.09	0.8259
skill	pitch recognition	23.2	0.165	0.0	4071.48	0.1313	22.468	0.0	0.0	4515.81	0.8031
skill	pitch statistics	21.533	4.204	0.0	3643.15	0.1165	24.199	0.693	0.0	4334.25	0.765
skill	rhythm pattern	25.201	12.125	0.0	4961.72	0.1844	39.533	0.659	0.0	4339.12	0.88
skill	rhythm pattern statistics	12.468	0.75	0.0	4336.93	0.1502	14.801	0.08	0.079	4607.94	0.785
skill	tonality recognition	31.833	1.432	0.0	1779.84	0.0621	37.667	0.0	0.0	1683.56	0.27
rel/abs	absolute	25.069	13.062	0.0	19061.19	0.6318	33.361	0.312	0.041	22179.31	3.8215
rel/abs	relative	20.384	13.727	0.0	21950.76	0.761	30.563	0.352	0.036	23979.71	4.2579
specification	harmony-absolute	23.667	31.823	0.0	3348.45	0.1148	42.834	0.708	0.0	3731.7	0.6213
specification	harmony-relative	21.222	22.486	0.0	4683.14	0.1603	28.446	0.474	0.078	5529.27	0.9032
specification	pitch-absolute	22.366	2.203	0.0	7714.64	0.2478	23.335	0.342	0.0	8850.05	1.568
specification	pitch-relative	21.433	16.439	0.0	7969.01	0.2661	35.233	0.311	0.0	9503.39	1.6897
specification	rhythm-absolute	28.334	16.897	0.0	7998.11	0.2691	39.599	0.106	0.103	9597.57	1.6321
specification	rhythm-relative	18.833	5.999	0.0	9298.63	0.3346	27.166	0.321	0.046	8947.07	1.6651
