Criterion_Type	Criterion_Value	google_gemini-2.0-flash-lite-001_Mean_Accuracy_(10_runs)	google_gemini-2.0-flash-lite-001_Mean_Unparsable_Percent	google_gemini-2.0-flash-lite-001_Mean_Model_Error_Percent	google_gemini-2.0-flash-lite-001_Sum_Total_Time_s	google_gemini-2.0-flash-lite-001_Sum_Total_Price	google_gemini-3.1-flash-lite-preview_Mean_Accuracy_(10_runs)	google_gemini-3.1-flash-lite-preview_Mean_Unparsable_Percent	google_gemini-3.1-flash-lite-preview_Mean_Model_Error_Percent	google_gemini-3.1-flash-lite-preview_Sum_Total_Time_s	google_gemini-3.1-flash-lite-preview_Sum_Total_Price	aggregate-mistral_Mean_Accuracy_(10_runs)	aggregate-mistral_Mean_Unparsable_Percent	aggregate-mistral_Mean_Model_Error_Percent	aggregate-mistral_Sum_Total_Time_s	aggregate-mistral_Sum_Total_Price
skill	note length	37.868	0.208	0.0	2373.72	0.0975	61.867	0.0	0.0	2536.79	0.7394	48.001	8.07	0.811	6279.18	1.151
skill	note length statistics	55.2	0.0	0.0	2619.42	0.1153	51.867	0.0	0.0	2584.47	0.7494	43.2	6.07	0.0	7671.21	1.2376
skill	pitch recognition	30.132	0.0	0.0	2367.19	0.1048	36.8	0.0	0.0	2513.36	0.7544	26.266	0.515	0.34	6798.76	1.2107
skill	pitch statistics	32.267	0.0	0.0	2249.89	0.0983	49.066	0.0	0.0	2579.89	0.7501	29.334	3.726	0.0	8132.58	1.2859
skill	rhythm pattern	36.401	0.0	0.0	2556.63	0.1142	46.268	0.0	0.0	2528.87	0.7625	39.333	7.08	0.222	6846.1	1.1991
skill	rhythm pattern statistics	16.8	0.0	0.0	2360.1	0.107	22.267	0.0	0.0	2581.11	0.7126	15.598	1.588	0.636	7594.1	1.2174
skill	tonality recognition	49.412	0.0	0.0	1232.78	0.0493	68.433	0.0	0.0	1373.05	0.3283	40.589	1.599	0.0	3621.73	0.7686
rel/abs	absolute	38.662	0.048	0.0	11191.64	0.4846	49.403	0.0	0.0	11967.77	3.48	36.267	4.517	0.212	32982.24	5.7166
rel/abs	relative	32.305	0.144	0.0	12956.42	0.5702	41.628	0.0	0.0	13742.47	3.9456	28.696	4.077	0.277	38814.18	6.4263
specification	harmony-absolute	37.451	0.0	0.0	1581.38	0.0687	46.47	0.0	0.0	1753.26	0.4867	33.727	5.752	0.0	4100.54	0.8314
specification	harmony-relative	37.168	0.0	0.0	2748.94	0.1148	47.877	0.0	0.0	3033.69	0.793	32.623	3.889	0.0	7407.73	1.525
specification	pitch-absolute	31.201	0.0	0.0	4617.1	0.2032	42.935	0.0	0.0	5093.24	1.5044	27.8	2.099	0.17	14931.3	2.4966
specification	pitch-relative	34.801	0.399	0.0	5290.74	0.2342	44.866	0.0	0.0	5598.8	1.6775	27.333	4.369	0.258	16966.22	2.4847
specification	rhythm-absolute	46.533	0.13	0.0	4993.16	0.2128	56.865	0.0	0.0	5121.24	1.4889	45.6	7.134	0.361	13950.41	2.3886
specification	rhythm-relative	26.602	0.0	0.0	4916.74	0.2212	34.267	0.0	0.0	5109.96	1.4751	27.468	3.894	0.456	14440.23	2.4166
