Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview_Accuracy_Percent	google_gemini-3.1-flash-lite-preview_Unparsable_Percent	google_gemini-3.1-flash-lite-preview_Model_Error_Percent	google_gemini-3.1-flash-lite-preview_Total_Time_s	google_gemini-3.1-flash-lite-preview_Total_Price	aggregate-mistral_Accuracy_Percent	aggregate-mistral_Unparsable_Percent	aggregate-mistral_Model_Error_Percent	aggregate-mistral_Total_Time_s	aggregate-mistral_Total_Price	google_gemini-2.0-flash-lite-001_Accuracy_Percent	google_gemini-2.0-flash-lite-001_Unparsable_Percent	google_gemini-2.0-flash-lite-001_Model_Error_Percent	google_gemini-2.0-flash-lite-001_Total_Time_s	google_gemini-2.0-flash-lite-001_Total_Price
piece_id	Jan_DuGrosserSchmerzensmann	75	48.0	0.0	0.0	265.49	0.075188	37.33	2.13	0.0	534.35	0.11774	41.33	0.0	0.0	250.01	0.011469
piece_id	Telemann_DerLiebenSonneLichtUndPracht	63	53.97	0.0	0.0	221.76	0.06831	41.27	0.0	0.0	371.75	0.136588	36.51	0.0	0.0	200.76	0.008968
piece_id	Vulpius_ChristusDerIstMeinLeben	84	50.0	0.0	0.0	273.0	0.069388	39.29	0.0	0.0	267.25	0.083411	44.05	0.0	0.0	289.0	0.01193
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	69	42.03	0.0	0.0	223.05	0.060342	44.93	2.63	0.0	603.42	0.056313	34.78	0.0	0.0	200.79	0.00773
is_nota_correct	0	600	45.5	0.0	0.0	2058.63	0.587329	34.33	1.52	0.25	5273.6	0.994754	36.17	0.0	0.0	1986.27	0.086291
is_nota_correct	1	150	43.33	0.0	0.0	540.47	0.154305	34.0	1.01	0.0	994.37	0.221598	28.0	0.0	0.0	474.28	0.020404
meta-question_id	1	75	37.33	0.0	0.0	244.73	0.072153	25.33	0.0	0.0	252.58	0.111831	30.67	0.0	0.0	222.06	0.009939
meta-question_id	10	51	39.22	0.0	0.0	170.58	0.049031	39.22	3.23	0.0	165.59	0.080154	27.45	0.0	0.0	179.81	0.00722
meta-question_id	11	48	25.0	0.0	0.0	171.02	0.046856	35.42	3.23	0.0	650.05	0.08198	31.25	0.0	0.0	154.61	0.00649
meta-question_id	2	75	52.0	0.0	0.0	282.71	0.075018	38.67	4.35	0.0	800.41	0.129237	34.67	0.0	0.0	230.05	0.009831
meta-question_id	3	75	36.0	0.0	0.0	282.17	0.083514	25.33	1.79	0.0	480.44	0.117418	18.67	0.0	0.0	282.1	0.013019
meta-question_id	4	75	46.67	0.0	0.0	278.94	0.086333	29.33	0.0	0.0	761.15	0.132966	40.0	0.0	0.0	280.74	0.012131
meta-question_id	5	75	72.0	0.0	0.0	246.66	0.073088	57.33	3.12	0.0	448.24	0.112215	26.67	0.0	0.0	243.23	0.009656
meta-question_id	6	75	48.0	0.0	0.0	270.24	0.079108	34.67	2.04	0.0	959.99	0.130702	60.0	0.0	0.0	251.34	0.01146
meta-question_id	7	75	42.67	0.0	0.0	251.02	0.074488	32.0	0.0	0.0	254.93	0.112205	29.33	0.0	0.0	243.37	0.011069
meta-question_id	8	75	24.0	0.0	0.0	255.62	0.06942	21.33	0.0	1.69	1055.13	0.129965	28.0	0.0	0.0	254.07	0.010867
meta-question_id	9	51	72.55	0.0	0.0	145.42	0.032624	43.14	0.0	0.0	439.46	0.077678	56.86	0.0	0.0	119.17	0.005014
category	harmony	150	46.0	0.0	0.0	487.02	0.12851	39.33	2.2	0.0	1255.09	0.239812	38.67	0.0	0.0	453.59	0.018723
category	pitch	300	43.0	0.0	0.0	1088.55	0.317019	29.67	1.42	0.0	2294.58	0.491453	31.0	0.0	0.0	1014.95	0.044919
category	rhythm	300	46.67	0.0	0.0	1023.54	0.296104	36.33	1.05	0.52	2718.29	0.485088	36.0	0.0	0.0	992.01	0.043052
subcategory	harmonic-recognition	150	46.0	0.0	0.0	487.02	0.12851	39.33	2.2	0.0	1255.09	0.239812	38.67	0.0	0.0	453.59	0.018723
subcategory	interval-recognition	150	41.33	0.0	0.0	561.11	0.169848	27.33	0.92	0.0	1241.6	0.250384	29.33	0.0	0.0	562.84	0.025149
subcategory	pitch-recognition	150	44.67	0.0	0.0	527.44	0.147171	32.0	1.96	0.0	1052.99	0.241068	32.67	0.0	0.0	452.11	0.01977
subcategory	proportion-recognition	150	33.33	0.0	0.0	506.64	0.143908	26.67	0.0	0.91	1310.06	0.242171	28.67	0.0	0.0	497.44	0.021936
subcategory	rhythmic-recognition	150	60.0	0.0	0.0	516.9	0.152196	46.0	2.47	0.0	1408.23	0.242917	43.33	0.0	0.0	494.57	0.021116
skill	cadence recognition	48	25.0	0.0	0.0	171.02	0.046856	35.42	3.23	0.0	650.05	0.08198	31.25	0.0	0.0	154.61	0.00649
skill	chord recognition	51	39.22	0.0	0.0	170.58	0.049031	39.22	3.23	0.0	165.59	0.080154	27.45	0.0	0.0	179.81	0.00722
skill	interval recognition	75	36.0	0.0	0.0	282.17	0.083514	25.33	1.79	0.0	480.44	0.117418	18.67	0.0	0.0	282.1	0.013019
skill	interval statistics	75	46.67	0.0	0.0	278.94	0.086333	29.33	0.0	0.0	761.15	0.132966	40.0	0.0	0.0	280.74	0.012131
skill	note length	75	72.0	0.0	0.0	246.66	0.073088	57.33	3.12	0.0	448.24	0.112215	26.67	0.0	0.0	243.23	0.009656
skill	note length statistics	75	48.0	0.0	0.0	270.24	0.079108	34.67	2.04	0.0	959.99	0.130702	60.0	0.0	0.0	251.34	0.01146
skill	pitch recognition	75	37.33	0.0	0.0	244.73	0.072153	25.33	0.0	0.0	252.58	0.111831	30.67	0.0	0.0	222.06	0.009939
skill	pitch statistics	75	52.0	0.0	0.0	282.71	0.075018	38.67	4.35	0.0	800.41	0.129237	34.67	0.0	0.0	230.05	0.009831
skill	rhythm pattern	75	42.67	0.0	0.0	251.02	0.074488	32.0	0.0	0.0	254.93	0.112205	29.33	0.0	0.0	243.37	0.011069
skill	rhythm pattern statistics	75	24.0	0.0	0.0	255.62	0.06942	21.33	0.0	1.69	1055.13	0.129965	28.0	0.0	0.0	254.07	0.010867
skill	tonality recognition	51	72.55	0.0	0.0	145.42	0.032624	43.14	0.0	0.0	439.46	0.077678	56.86	0.0	0.0	119.17	0.005014
rel/abs	absolute	351	50.43	0.0	0.0	1214.92	0.348398	39.03	2.34	0.0	2626.81	0.56414	36.47	0.0	0.0	1126.49	0.048105
rel/abs	relative	399	40.35	0.0	0.0	1384.18	0.393236	30.08	0.72	0.36	3641.16	0.652213	32.83	0.0	0.0	1334.06	0.058589
specification	harmony-absolute	51	39.22	0.0	0.0	170.58	0.049031	39.22	3.23	0.0	165.59	0.080154	27.45	0.0	0.0	179.81	0.00722
specification	harmony-relative	99	49.49	0.0	0.0	316.43	0.07948	39.39	1.67	0.0	1089.51	0.159658	44.44	0.0	0.0	273.78	0.011503
specification	pitch-absolute	150	44.67	0.0	0.0	527.44	0.147171	32.0	1.96	0.0	1052.99	0.241068	32.67	0.0	0.0	452.11	0.01977
specification	pitch-relative	150	41.33	0.0	0.0	561.11	0.169848	27.33	0.92	0.0	1241.6	0.250384	29.33	0.0	0.0	562.84	0.025149
specification	rhythm-absolute	150	60.0	0.0	0.0	516.9	0.152196	46.0	2.47	0.0	1408.23	0.242917	43.33	0.0	0.0	494.57	0.021116
specification	rhythm-relative	150	33.33	0.0	0.0	506.64	0.143908	26.67	0.0	0.91	1310.06	0.242171	28.67	0.0	0.0	497.44	0.021936
