Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview_Accuracy_Percent	google_gemini-3.1-flash-lite-preview_Unparsable_Percent	google_gemini-3.1-flash-lite-preview_Model_Error_Percent	google_gemini-3.1-flash-lite-preview_Total_Time_s	google_gemini-3.1-flash-lite-preview_Total_Price	aggregate-mistral_Accuracy_Percent	aggregate-mistral_Unparsable_Percent	aggregate-mistral_Model_Error_Percent	aggregate-mistral_Total_Time_s	aggregate-mistral_Total_Price	Qwen_Qwen3-Omni-30B-A3B-Thinking_Accuracy_Percent	Qwen_Qwen3-Omni-30B-A3B-Thinking_Unparsable_Percent	Qwen_Qwen3-Omni-30B-A3B-Thinking_Model_Error_Percent	Qwen_Qwen3-Omni-30B-A3B-Thinking_Total_Time_s	Qwen_Qwen3-Omni-30B-A3B-Thinking_Total_Price	aggregate-gpt-5_Accuracy_Percent	aggregate-gpt-5_Unparsable_Percent	aggregate-gpt-5_Model_Error_Percent	aggregate-gpt-5_Total_Time_s	aggregate-gpt-5_Total_Price	google_gemini-2.0-flash-lite-001_Accuracy_Percent	google_gemini-2.0-flash-lite-001_Unparsable_Percent	google_gemini-2.0-flash-lite-001_Model_Error_Percent	google_gemini-2.0-flash-lite-001_Total_Time_s	google_gemini-2.0-flash-lite-001_Total_Price	google_gemini-2.5-flash-lite_Accuracy_Percent	google_gemini-2.5-flash-lite_Unparsable_Percent	google_gemini-2.5-flash-lite_Model_Error_Percent	google_gemini-2.5-flash-lite_Total_Time_s	google_gemini-2.5-flash-lite_Total_Price	aggregate-gpt-4o_Accuracy_Percent	aggregate-gpt-4o_Unparsable_Percent	aggregate-gpt-4o_Model_Error_Percent	aggregate-gpt-4o_Total_Time_s	aggregate-gpt-4o_Total_Price	aggregate-gpt-5-full_Accuracy_Percent	aggregate-gpt-5-full_Unparsable_Percent	aggregate-gpt-5-full_Model_Error_Percent	aggregate-gpt-5-full_Total_Time_s	aggregate-gpt-5-full_Total_Price
piece_id	Jan_DuGrosserSchmerzensmann	42	54.76	0.0	0.0	156.84	0.043334	26.19	9.68	0.0	921.46	0.082951	52.38	0.0	0.0	713.04	0.0	42.86	20.83	0.0	866.36	0.221941	54.76	0.0	0.0	142.48	0.00691	59.52	0.0	0.0	681.91	0.076815	42.86	4.17	0.0	186.22	0.37123	38.1	15.38	0.0	140.11	0.280255
piece_id	Telemann_DerLiebenSonneLichtUndPracht	27	74.07	0.0	0.0	99.71	0.028799	66.67	22.22	0.0	568.92	0.068394	51.85	0.0	0.0	489.65	0.0	55.56	16.67	0.0	438.72	0.104176	51.85	0.0	0.0	86.55	0.003836	55.56	0.0	0.0	500.41	0.057376	48.15	0.0	0.0	132.35	0.299572	51.85	38.46	0.0	88.72	0.221741
piece_id	Vulpius_ChristusDerIstMeinLeben	21	47.62	0.0	0.0	74.08	0.019222	38.1	0.0	0.0	203.79	0.024261	52.38	0.0	0.0	336.11	0.0	33.33	7.14	0.0	280.61	0.069464	47.62	0.0	0.0	55.97	0.002156	38.1	0.0	0.0	391.57	0.042102	57.14	0.0	0.0	74.77	0.129573	42.86	8.33	0.0	63.52	0.099724
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	24	50.0	0.0	0.0	84.73	0.020791	45.83	0.0	0.0	565.03	0.026055	58.33	0.0	0.0	355.07	0.0	33.33	18.75	0.0	400.13	0.099124	29.17	0.0	0.0	67.05	0.002889	25.0	0.0	0.0	544.75	0.064771	62.5	0.0	0.0	79.67	0.124415	41.67	21.43	0.0	61.21	0.083945
is_nota_correct	0	240	41.67	0.0	0.0	856.7	0.231791	38.33	8.11	0.0	4365.61	0.444839	42.92	0.0	0.0	4797.22	0.0	41.25	14.18	0.0	4128.74	0.956283	38.75	0.0	0.0	726.33	0.03224	44.58	0.0	0.0	4173.83	0.468964	40.83	2.11	0.0	996.01	2.060892	36.25	21.57	0.0	798.02	1.567866
is_nota_correct	1	60	61.67	0.0	0.0	213.61	0.06348	43.33	2.94	0.0	994.55	0.099339	60.0	0.0	0.0	1400.58	0.0	45.0	12.12	0.0	1357.76	0.312452	46.67	0.0	0.0	206.68	0.009493	26.67	0.0	0.0	1238.83	0.143123	41.67	2.86	0.0	263.86	0.507315	40.0	13.89	0.0	194.69	0.376969
meta-question_id	1	30	30.0	0.0	0.0	106.62	0.028702	16.67	0.0	0.0	737.28	0.054099	46.67	0.0	0.0	512.99	0.0	43.33	0.0	0.0	440.68	0.106146	20.0	0.0	0.0	89.45	0.004032	33.33	0.0	0.0	344.71	0.038054	36.67	0.0	0.0	111.19	0.228965	23.33	0.0	0.0	103.69	0.182358
meta-question_id	10	21	28.57	0.0	0.0	68.33	0.020463	57.14	0.0	0.0	90.76	0.030583	33.33	0.0	0.0	520.48	0.0	14.29	5.56	0.0	394.92	0.101687	42.86	0.0	0.0	62.24	0.002585	38.1	0.0	0.0	377.24	0.041954	23.81	6.25	0.0	90.33	0.17649	9.52	15.79	0.0	67.25	0.132346
meta-question_id	11	18	27.78	0.0	0.0	65.92	0.016298	22.22	7.14	0.0	185.07	0.027344	22.22	0.0	0.0	300.7	0.0	16.67	26.67	0.0	438.73	0.109935	27.78	0.0	0.0	55.13	0.002489	27.78	0.0	0.0	328.42	0.033802	33.33	16.67	0.0	74.91	0.143163	22.22	21.43	0.0	56.1	0.107052
meta-question_id	2	30	56.67	0.0	0.0	100.37	0.028614	40.0	0.0	0.0	123.71	0.04495	60.0	0.0	0.0	324.34	0.0	46.67	12.5	0.0	365.13	0.089405	36.67	0.0	0.0	79.23	0.003595	53.33	0.0	0.0	275.88	0.030341	60.0	0.0	0.0	108.12	0.243372	46.67	18.75	0.0	100.24	0.194597
meta-question_id	3	30	30.0	0.0	0.0	111.53	0.032539	23.33	8.7	0.0	597.68	0.052064	36.67	0.0	0.0	661.85	0.0	43.33	23.53	0.0	505.9	0.121797	20.0	0.0	0.0	104.43	0.0049	20.0	0.0	0.0	699.58	0.074637	26.67	4.55	0.0	128.52	0.251933	33.33	25.0	0.0	98.62	0.193229
meta-question_id	4	30	60.0	0.0	0.0	119.96	0.035117	40.0	16.67	0.0	1049.92	0.067549	53.33	0.0	0.0	998.04	0.0	53.33	28.57	0.0	750.08	0.181079	43.33	0.0	0.0	108.64	0.004844	33.33	0.0	0.0	1108.63	0.139795	53.33	0.0	0.0	141.73	0.269475	33.33	30.0	0.0	94.47	0.191219
meta-question_id	5	30	53.33	0.0	0.0	118.31	0.03031	63.33	0.0	0.0	96.82	0.046211	43.33	0.0	0.0	453.57	0.0	60.0	0.0	0.0	374.72	0.1058	66.67	0.0	0.0	94.0	0.004029	43.33	0.0	0.0	390.13	0.045053	53.33	0.0	0.0	126.58	0.25906	53.33	21.43	0.0	91.12	0.202322
meta-question_id	6	30	66.67	0.0	0.0	102.44	0.028919	46.67	25.0	0.0	1218.07	0.067446	60.0	0.0	0.0	657.42	0.0	43.33	23.53	0.0	554.69	0.141333	63.33	0.0	0.0	97.72	0.004406	50.0	0.0	0.0	584.32	0.064121	63.33	0.0	0.0	140.7	0.254707	50.0	46.67	0.0	105.77	0.179797
meta-question_id	7	30	60.0	0.0	0.0	110.12	0.032572	63.33	18.18	0.0	698.53	0.065479	53.33	0.0	0.0	894.07	0.0	50.0	13.33	0.0	661.25	0.12316	66.67	0.0	0.0	101.9	0.004384	66.67	0.0	0.0	545.12	0.060778	30.0	0.0	0.0	145.92	0.30835	60.0	50.0	0.0	112.92	0.230701
meta-question_id	8	30	23.33	0.0	0.0	104.27	0.028019	13.33	3.85	0.0	419.73	0.056604	26.67	0.0	0.0	726.46	0.0	26.67	9.09	0.0	768.6	0.132368	10.0	0.0	0.0	88.84	0.004353	40.0	0.0	0.0	546.11	0.0613	20.0	0.0	0.0	126.38	0.275533	10.0	0.0	0.0	102.67	0.207485
meta-question_id	9	21	57.14	0.0	0.0	62.43	0.013721	47.62	0.0	0.0	142.57	0.03185	66.67	0.0	0.0	147.89	0.0	47.62	9.09	0.0	231.78	0.056027	42.86	0.0	0.0	51.42	0.002116	38.1	0.0	0.0	212.51	0.022253	42.86	0.0	0.0	65.48	0.15716	57.14	22.22	0.0	59.86	0.123729
category	harmony	60	38.33	0.0	0.0	196.68	0.050481	43.33	2.94	0.0	418.41	0.089777	41.67	0.0	0.0	969.07	0.0	26.67	13.64	0.0	1065.43	0.267649	38.33	0.0	0.0	168.79	0.00719	35.0	0.0	0.0	918.17	0.098008	33.33	7.5	0.0	230.72	0.476813	30.0	19.05	0.0	183.21	0.363127
category	pitch	120	44.17	0.0	0.0	438.47	0.124971	30.0	5.95	0.0	2508.59	0.218661	49.17	0.0	0.0	2497.22	0.0	46.67	15.62	0.0	2061.79	0.498426	30.0	0.0	0.0	381.75	0.017371	35.0	0.0	0.0	2428.8	0.282826	44.17	1.49	0.0	489.57	0.993745	34.17	17.72	0.0	397.02	0.761403
category	rhythm	120	50.83	0.0	0.0	435.15	0.119819	46.67	10.94	0.0	2433.15	0.23574	45.83	0.0	0.0	2731.51	0.0	45.0	12.12	0.0	2359.27	0.50266	51.67	0.0	0.0	382.47	0.017172	50.0	0.0	0.0	2065.69	0.231253	41.67	0.0	0.0	539.58	1.09765	43.33	23.53	0.0	412.48	0.820306
subcategory	harmonic-recognition	60	38.33	0.0	0.0	196.68	0.050481	43.33	2.94	0.0	418.41	0.089777	41.67	0.0	0.0	969.07	0.0	26.67	13.64	0.0	1065.43	0.267649	38.33	0.0	0.0	168.79	0.00719	35.0	0.0	0.0	918.17	0.098008	33.33	7.5	0.0	230.72	0.476813	30.0	19.05	0.0	183.21	0.363127
subcategory	interval-recognition	60	45.0	0.0	0.0	231.49	0.067655	31.67	12.2	0.0	1647.6	0.119613	45.0	0.0	0.0	1659.89	0.0	48.33	25.81	0.0	1255.98	0.302876	31.67	0.0	0.0	213.07	0.009745	26.67	0.0	0.0	1808.21	0.214432	40.0	2.78	0.0	270.26	0.521408	33.33	27.5	0.0	193.09	0.384447
subcategory	pitch-recognition	60	43.33	0.0	0.0	206.99	0.057316	28.33	0.0	0.0	860.99	0.099048	53.33	0.0	0.0	837.33	0.0	45.0	6.06	0.0	805.81	0.19555	28.33	0.0	0.0	168.68	0.007627	43.33	0.0	0.0	620.59	0.068394	48.33	0.0	0.0	219.31	0.472337	35.0	7.69	0.0	203.93	0.376955
subcategory	proportion-recognition	60	41.67	0.0	0.0	214.39	0.060591	38.33	8.11	0.0	1118.26	0.122083	40.0	0.0	0.0	1620.53	0.0	38.33	10.81	0.0	1429.86	0.255528	38.33	0.0	0.0	190.75	0.008737	53.33	0.0	0.0	1091.24	0.122079	25.0	0.0	0.0	272.29	0.583883	35.0	15.38	0.0	215.58	0.438186
subcategory	rhythmic-recognition	60	60.0	0.0	0.0	220.76	0.059228	55.0	14.81	0.0	1314.89	0.113657	51.67	0.0	0.0	1110.99	0.0	51.67	13.79	0.0	929.41	0.247133	65.0	0.0	0.0	191.73	0.008435	46.67	0.0	0.0	974.45	0.109174	58.33	0.0	0.0	267.28	0.513767	51.67	34.48	0.0	196.89	0.382119
skill	cadence recognition	18	27.78	0.0	0.0	65.92	0.016298	22.22	7.14	0.0	185.07	0.027344	22.22	0.0	0.0	300.7	0.0	16.67	26.67	0.0	438.73	0.109935	27.78	0.0	0.0	55.13	0.002489	27.78	0.0	0.0	328.42	0.033802	33.33	16.67	0.0	74.91	0.143163	22.22	21.43	0.0	56.1	0.107052
skill	chord recognition	21	28.57	0.0	0.0	68.33	0.020463	57.14	0.0	0.0	90.76	0.030583	33.33	0.0	0.0	520.48	0.0	14.29	5.56	0.0	394.92	0.101687	42.86	0.0	0.0	62.24	0.002585	38.1	0.0	0.0	377.24	0.041954	23.81	6.25	0.0	90.33	0.17649	9.52	15.79	0.0	67.25	0.132346
skill	interval recognition	30	30.0	0.0	0.0	111.53	0.032539	23.33	8.7	0.0	597.68	0.052064	36.67	0.0	0.0	661.85	0.0	43.33	23.53	0.0	505.9	0.121797	20.0	0.0	0.0	104.43	0.0049	20.0	0.0	0.0	699.58	0.074637	26.67	4.55	0.0	128.52	0.251933	33.33	25.0	0.0	98.62	0.193229
skill	interval statistics	30	60.0	0.0	0.0	119.96	0.035117	40.0	16.67	0.0	1049.92	0.067549	53.33	0.0	0.0	998.04	0.0	53.33	28.57	0.0	750.08	0.181079	43.33	0.0	0.0	108.64	0.004844	33.33	0.0	0.0	1108.63	0.139795	53.33	0.0	0.0	141.73	0.269475	33.33	30.0	0.0	94.47	0.191219
skill	note length	30	53.33	0.0	0.0	118.31	0.03031	63.33	0.0	0.0	96.82	0.046211	43.33	0.0	0.0	453.57	0.0	60.0	0.0	0.0	374.72	0.1058	66.67	0.0	0.0	94.0	0.004029	43.33	0.0	0.0	390.13	0.045053	53.33	0.0	0.0	126.58	0.25906	53.33	21.43	0.0	91.12	0.202322
skill	note length statistics	30	66.67	0.0	0.0	102.44	0.028919	46.67	25.0	0.0	1218.07	0.067446	60.0	0.0	0.0	657.42	0.0	43.33	23.53	0.0	554.69	0.141333	63.33	0.0	0.0	97.72	0.004406	50.0	0.0	0.0	584.32	0.064121	63.33	0.0	0.0	140.7	0.254707	50.0	46.67	0.0	105.77	0.179797
skill	pitch recognition	30	30.0	0.0	0.0	106.62	0.028702	16.67	0.0	0.0	737.28	0.054099	46.67	0.0	0.0	512.99	0.0	43.33	0.0	0.0	440.68	0.106146	20.0	0.0	0.0	89.45	0.004032	33.33	0.0	0.0	344.71	0.038054	36.67	0.0	0.0	111.19	0.228965	23.33	0.0	0.0	103.69	0.182358
skill	pitch statistics	30	56.67	0.0	0.0	100.37	0.028614	40.0	0.0	0.0	123.71	0.04495	60.0	0.0	0.0	324.34	0.0	46.67	12.5	0.0	365.13	0.089405	36.67	0.0	0.0	79.23	0.003595	53.33	0.0	0.0	275.88	0.030341	60.0	0.0	0.0	108.12	0.243372	46.67	18.75	0.0	100.24	0.194597
skill	rhythm pattern	30	60.0	0.0	0.0	110.12	0.032572	63.33	18.18	0.0	698.53	0.065479	53.33	0.0	0.0	894.07	0.0	50.0	13.33	0.0	661.25	0.12316	66.67	0.0	0.0	101.9	0.004384	66.67	0.0	0.0	545.12	0.060778	30.0	0.0	0.0	145.92	0.30835	60.0	50.0	0.0	112.92	0.230701
skill	rhythm pattern statistics	30	23.33	0.0	0.0	104.27	0.028019	13.33	3.85	0.0	419.73	0.056604	26.67	0.0	0.0	726.46	0.0	26.67	9.09	0.0	768.6	0.132368	10.0	0.0	0.0	88.84	0.004353	40.0	0.0	0.0	546.11	0.0613	20.0	0.0	0.0	126.38	0.275533	10.0	0.0	0.0	102.67	0.207485
skill	tonality recognition	21	57.14	0.0	0.0	62.43	0.013721	47.62	0.0	0.0	142.57	0.03185	66.67	0.0	0.0	147.89	0.0	47.62	9.09	0.0	231.78	0.056027	42.86	0.0	0.0	51.42	0.002116	38.1	0.0	0.0	212.51	0.022253	42.86	0.0	0.0	65.48	0.15716	57.14	22.22	0.0	59.86	0.123729
rel/abs	absolute	141	48.23	0.0	0.0	496.08	0.137007	43.97	5.06	0.0	2266.65	0.243288	49.65	0.0	0.0	2468.8	0.0	43.26	8.75	0.0	2130.14	0.54437	46.1	0.0	0.0	422.65	0.018646	43.97	0.0	0.0	1972.28	0.219522	48.94	1.39	0.0	576.93	1.162595	38.3	18.39	0.0	468.07	0.891421
rel/abs	relative	159	43.4	0.0	0.0	574.23	0.158264	35.22	8.74	0.0	3093.51	0.30089	43.4	0.0	0.0	3729.01	0.0	40.88	18.09	0.0	3356.36	0.724365	35.22	0.0	0.0	510.36	0.023087	38.36	0.0	0.0	3440.38	0.392565	33.96	2.86	0.0	682.94	1.405612	35.85	21.57	0.0	524.64	1.053414
specification	harmony-absolute	21	28.57	0.0	0.0	68.33	0.020463	57.14	0.0	0.0	90.76	0.030583	33.33	0.0	0.0	520.48	0.0	14.29	5.56	0.0	394.92	0.101687	42.86	0.0	0.0	62.24	0.002585	38.1	0.0	0.0	377.24	0.041954	23.81	6.25	0.0	90.33	0.17649	9.52	15.79	0.0	67.25	0.132346
specification	harmony-relative	39	43.59	0.0	0.0	128.35	0.030019	35.9	4.0	0.0	327.64	0.059194	46.15	0.0	0.0	448.59	0.0	33.33	19.23	0.0	670.51	0.165962	35.9	0.0	0.0	106.55	0.004606	33.33	0.0	0.0	540.93	0.056055	38.46	8.33	0.0	140.39	0.300322	41.03	21.74	0.0	115.96	0.230781
specification	pitch-absolute	60	43.33	0.0	0.0	206.99	0.057316	28.33	0.0	0.0	860.99	0.099048	53.33	0.0	0.0	837.33	0.0	45.0	6.06	0.0	805.81	0.19555	28.33	0.0	0.0	168.68	0.007627	43.33	0.0	0.0	620.59	0.068394	48.33	0.0	0.0	219.31	0.472337	35.0	7.69	0.0	203.93	0.376955
specification	pitch-relative	60	45.0	0.0	0.0	231.49	0.067655	31.67	12.2	0.0	1647.6	0.119613	45.0	0.0	0.0	1659.89	0.0	48.33	25.81	0.0	1255.98	0.302876	31.67	0.0	0.0	213.07	0.009745	26.67	0.0	0.0	1808.21	0.214432	40.0	2.78	0.0	270.26	0.521408	33.33	27.5	0.0	193.09	0.384447
specification	rhythm-absolute	60	60.0	0.0	0.0	220.76	0.059228	55.0	14.81	0.0	1314.89	0.113657	51.67	0.0	0.0	1110.99	0.0	51.67	13.79	0.0	929.41	0.247133	65.0	0.0	0.0	191.73	0.008435	46.67	0.0	0.0	974.45	0.109174	58.33	0.0	0.0	267.28	0.513767	51.67	34.48	0.0	196.89	0.382119
specification	rhythm-relative	60	41.67	0.0	0.0	214.39	0.060591	38.33	8.11	0.0	1118.26	0.122083	40.0	0.0	0.0	1620.53	0.0	38.33	10.81	0.0	1429.86	0.255528	38.33	0.0	0.0	190.75	0.008737	53.33	0.0	0.0	1091.24	0.122079	25.0	0.0	0.0	272.29	0.583883	35.0	15.38	0.0	215.58	0.438186
