Criterion_Type	Criterion_Value	google_gemini-2.0-flash-lite-001_normal	google_gemini-2.0-flash-lite-001_text-only	google_gemini-2.0-flash-lite-001_white-noise	google_gemini-3.1-flash-lite-preview_normal	google_gemini-3.1-flash-lite-preview_text-only	google_gemini-3.1-flash-lite-preview_white-noise	aggregate-mistral_normal	google_gemini-2.5-flash-lite_normal	aggregate-gpt-4o_normal	Qwen_Qwen3-Omni-30B-A3B-Thinking_normal	Qwen_Qwen3-Omni-30B-A3B-Thinking_text-only
skill	note length	32.333	24.332	24.999	57.667	40.0	33.334	45.001	46.333	43.668	46.667	18.333
skill	note length statistics	60.334	40.666	56.666	59.334	48.333	48.668	55.334	50.668	56.333	61.999	46.666
skill	pitch recognition	28.334	18.667	20.334	33.332	23.334	25.333	24.667	34.668	32.0	34.333	21.999
skill	pitch statistics	36.334	22.667	25.333	51.666	23.665	23.0	31.001	42.666	41.334	37.667	19.333
skill	rhythm pattern	37.001	31.0	29.0	47.333	36.667	32.334	41.668	38.666	42.0	46.999	20.666
skill	rhythm pattern statistics	16.333	11.334	15.664	27.667	19.0	17.335	16.0	28.666	16.666	23.334	11.332
skill	tonality recognition	44.285	25.715	27.143	62.38	39.524	25.715	37.144	42.857	48.573	53.334	38.573
rel/abs	absolute	39.574	26.03	31.347	49.29	34.894	31.276	38.227	42.34	41.702	43.049	25.745
rel/abs	relative	31.948	21.007	25.598	42.138	32.327	25.723	29.938	35.535	34.277	37.737	24.906
specification	harmony-absolute	40.954	22.858	28.573	42.382	40.951	23.81	33.811	35.238	32.381	30.952	20.953
specification	harmony-relative	36.923	21.538	23.591	47.691	33.59	23.847	33.077	37.18	37.95	43.333	34.104
specification	pitch-absolute	32.333	20.665	22.834	42.499	23.5	24.166	27.835	38.666	36.667	36.0	20.666
specification	pitch-relative	34.0	20.5	30.165	43.168	36.001	27.833	28.999	36.332	36.833	36.666	27.833
specification	rhythm-absolute	46.333	32.5	40.834	58.499	44.165	41.0	50.168	48.5	50.0	54.334	32.5
specification	rhythm-relative	26.666	21.166	22.334	37.5	27.833	24.831	28.835	33.666	29.335	35.166	16.001
