Criterion_Type	Criterion_Value	google_gemini-2.0-flash-lite-001_Mean_Accuracy_(10_runs)	google_gemini-2.0-flash-lite-001_Mean_Unparsable_Percent	google_gemini-2.0-flash-lite-001_Mean_Model_Error_Percent	google_gemini-2.0-flash-lite-001_Sum_Total_Time_s	google_gemini-2.0-flash-lite-001_Sum_Total_Price	google_gemini-3.1-flash-lite-preview_Mean_Accuracy_(10_runs)	google_gemini-3.1-flash-lite-preview_Mean_Unparsable_Percent	google_gemini-3.1-flash-lite-preview_Mean_Model_Error_Percent	google_gemini-3.1-flash-lite-preview_Sum_Total_Time_s	google_gemini-3.1-flash-lite-preview_Sum_Total_Price
is_nota_correct	1	57.334	1.936	0.0	2028.75	0.1764	39.833	0.0	0.0	2342.71	0.7623
meta-question_id	1	20.334	0.0	0.0	1008.8	0.089	25.333	0.0	0.0	1168.45	0.3838
meta-question_id	10	28.573	0.667	0.0	748.6	0.062	23.81	0.0	0.0	812.84	0.2677
meta-question_id	11	19.445	0.0	0.0	593.37	0.0528	21.666	0.0	0.0	632.13	0.2208
meta-question_id	2	25.333	1.257	0.0	1002.17	0.0906	23.0	0.0	0.0	1286.59	0.3944
meta-question_id	3	22.668	1.31	0.0	1002.13	0.0891	20.333	0.5	0.0	1188.5	0.3805
meta-question_id	4	37.667	2.773	0.0	1004.17	0.0896	35.334	0.0	0.0	1211.65	0.375
meta-question_id	5	24.999	0.0	0.0	1004.12	0.0903	33.334	0.0	0.0	1272.47	0.3968
meta-question_id	6	56.666	0.0	0.0	1047.9	0.0903	48.668	0.556	0.0	1150.07	0.3799
meta-question_id	7	29.0	1.334	0.0	997.89	0.0893	32.334	0.0	0.0	1153.23	0.3891
meta-question_id	8	15.664	1.985	0.0	927.53	0.0874	17.335	0.357	0.0	1231.31	0.3811
meta-question_id	9	27.143	0.0	0.0	671.04	0.0602	25.715	0.0	0.0	727.01	0.2572
category	harmony	25.332	0.222	0.0	2012.99	0.175	23.832	0.0	0.0	2171.98	0.7457
category	pitch	26.501	1.231	0.0	4017.3	0.3583	25.999	0.112	0.0	4855.18	1.5337
category	rhythm	31.583	0.975	0.0	3977.41	0.3573	32.916	0.23	0.0	4807.08	1.5469
subcategory	harmonic-recognition	25.332	0.222	0.0	2012.99	0.175	23.832	0.0	0.0	2171.98	0.7457
subcategory	interval-recognition	30.165	1.911	0.0	2006.33	0.1787	27.833	0.244	0.0	2400.15	0.7555
subcategory	pitch-recognition	22.834	0.652	0.0	2010.99	0.1796	24.166	0.0	0.0	2455.04	0.7782
subcategory	proportion-recognition	22.334	1.72	0.0	1925.44	0.1767	24.831	0.204	0.0	2384.53	0.7702
subcategory	rhythmic-recognition	40.834	0.0	0.0	2052.0	0.1807	41.0	0.256	0.0	2422.54	0.7767
skill	cadence recognition	19.445	0.0	0.0	593.37	0.0528	21.666	0.0	0.0	632.13	0.2208
skill	chord recognition	28.573	0.667	0.0	748.6	0.062	23.81	0.0	0.0	812.84	0.2677
skill	interval recognition	22.668	1.31	0.0	1002.13	0.0891	20.333	0.5	0.0	1188.5	0.3805
skill	interval statistics	37.667	2.773	0.0	1004.17	0.0896	35.334	0.0	0.0	1211.65	0.375
skill	note length	24.999	0.0	0.0	1004.12	0.0903	33.334	0.0	0.0	1272.47	0.3968
skill	note length statistics	56.666	0.0	0.0	1047.9	0.0903	48.668	0.556	0.0	1150.07	0.3799
skill	pitch recognition	20.334	0.0	0.0	1008.8	0.089	25.333	0.0	0.0	1168.45	0.3838
skill	pitch statistics	25.333	1.257	0.0	1002.17	0.0906	23.0	0.0	0.0	1286.59	0.3944
skill	rhythm pattern	29.0	1.334	0.0	997.89	0.0893	32.334	0.0	0.0	1153.23	0.3891
skill	rhythm pattern statistics	15.664	1.985	0.0	927.53	0.0874	17.335	0.357	0.0	1231.31	0.3811
skill	tonality recognition	27.143	0.0	0.0	671.04	0.0602	25.715	0.0	0.0	727.01	0.2572
rel/abs	absolute	31.347	0.391	0.0	4811.57	0.4222	31.276	0.098	0.0	5690.41	1.8226
rel/abs	relative	25.598	1.359	0.0	5196.14	0.4684	25.723	0.171	0.0	6143.82	2.0037
specification	harmony-absolute	28.573	0.667	0.0	748.6	0.062	23.81	0.0	0.0	812.84	0.2677
specification	harmony-relative	23.591	0.0	0.0	1264.38	0.1131	23.847	0.0	0.0	1359.14	0.478
specification	pitch-absolute	22.834	0.652	0.0	2010.99	0.1796	24.166	0.0	0.0	2455.04	0.7782
specification	pitch-relative	30.165	1.911	0.0	2006.33	0.1787	27.833	0.244	0.0	2400.15	0.7555
specification	rhythm-absolute	40.834	0.0	0.0	2052.0	0.1807	41.0	0.256	0.0	2422.54	0.7767
specification	rhythm-relative	22.334	1.72	0.0	1925.44	0.1767	24.831	0.204	0.0	2384.53	0.7702
